,onsets,offsets,weddNr
0,70.0,88.0,1.0
1,51.0,69.0,2.0
2,141.0,159.0,6.0
3,89.0,110.0,17.0
4,184.0,99998.0,19.0
5,3.0,18.0,20.0
6,34.0,50.0,22.0
7,173.0,183.0,23.0
8,160.0,172.0,28.0
9,19.0,33.0,29.0
10,127.0,140.0,34.0
11,111.0,126.0,38.0
