,onsets,offsets,weddNr
0,197.0,231.0,1.0
1,145.0,169.0,2.0
2,95.0,117.0,6.0
3,282.0,302.0,17.0
4,30.0,59.0,19.0
5,60.0,94.0,20.0
6,118.0,144.0,22.0
7,170.0,196.0,23.0
8,260.0,281.0,28.0
9,3.0,29.0,29.0
10,232.0,259.0,34.0
11,303.0,99998.0,38.0
