northOrSouth,stimFile1a,stimFile1b,stimFile2,stimFile3,stimFile4,stimFile5,Qeggpainting1,Qeggpainting2,Qcharacter1,Qcharacter2,Qgift1,Qgift2,Qname1,Qname2,Qtheme1,Qtheme2,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,South.thisRepN,South.thisTrialN,South.thisN,South.thisIndex,North.thisRepN,North.thisTrialN,North.thisN,North.thisIndex,noQtrials.thisRepN,noQtrials.thisTrialN,noQtrials.thisN,noQtrials.thisIndex,Qtrials.thisRepN,Qtrials.thisTrialN,Qtrials.thisN,Qtrials.thisIndex,text.started,text.stopped,prep_trigger.keys,prep_trigger.rt,prep_trigger.started,prep_trigger.stopped,waiting.started,waiting.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,southCueImage.started,southCueImage.stopped,northCueImage.started,northCueImage.stopped,trialNoQs.started,trialNoQs.stopped,vid1a.started,vid1a.stopped,vid1b.started,vid1b.stopped,vid2.started,vid2.stopped,vid3.started,vid3.stopped,vid4.started,vid4.stopped,vid5.started,vid5.stopped,ISI2.started,ISI2.stopped,vid1a_q.started,vid1a_q.stopped,vid1b_q.started,vid1b_q.stopped,vid2_q.started,vid2_q.stopped,l2q.started,l2q.stopped,vid3_q.started,vid3_q.stopped,l3q.started,l3q.stopped,vid4_q.started,vid4_q.stopped,vid5_q.started,vid5_q.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,ISI7.started,ISI7.stopped,nameQresp.keys,nameQresp.rt,nameQresp.started,nameQresp.stopped,nameQ1.started,nameQ1.stopped,nameQ2.started,nameQ2.stopped,eggPainting1.started,eggPainting1.stopped,eggPaintingQresp.keys,eggPaintingQresp.rt,eggPaintingQresp.started,eggPaintingQresp.stopped,eggPainting2.started,eggPainting2.stopped,character1.started,character1.stopped,character2.started,character2.stopped,Qcharacter.keys,Qcharacter.rt,Qcharacter.started,Qcharacter.stopped,themeQresp.keys,themeQresp.rt,themeQresp.started,themeQresp.stopped,themeQ1.started,themeQ1.stopped,themeQ2.started,themeQ2.stopped,gift1.started,gift1.stopped,gift2.started,gift2.stopped,giftQresp.keys,giftQresp.rt,giftQresp.started,giftQresp.stopped,northorsouth1.started,northorsouth1.stopped,northorsouth2.started,northorsouth2.stopped,northOrSouthQ.keys,northOrSouthQ.rt,northOrSouthQ.started,northOrSouthQ.stopped,session,participant,date,expName,psychopyVersion,frameRate,
north.png,stims/wedding-22.1a.mp4,stims/wedding-22.1b.mp4,stims/wedding-22.2a.mp4,stims/wedding-22.3a.mp4,stims/wedding-22.4a.mp4,stims/wedding-22.5.mp4,stimsday2details/egg22.png,stimsday2details/newegg13.png,stimsday2details/newperson26.png,stimsday2details/couple22.png,stimsday2details/gift22.png,stimsday2details/new26.png,stimsday2details/cn22.png,stimsday2details/n22.png,stimsday2details/t22.png,stimsday2details/ct22.png,0,1,1,1,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,39,2020_Jan_17_1344,viewing,3.1.2,None,
north.png,stims/wedding-22.1a.mp4,stims/wedding-22.1b.mp4,stims/wedding-22.2a.mp4,stims/wedding-22.3a.mp4,stims/wedding-22.4a.mp4,stims/wedding-22.5.mp4,stimsday2details/egg22.png,stimsday2details/newegg13.png,stimsday2details/newperson26.png,stimsday2details/couple22.png,stimsday2details/gift22.png,stimsday2details/new26.png,stimsday2details/cn22.png,stimsday2details/n22.png,stimsday2details/t22.png,stimsday2details/ct22.png,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.786291927099228e-05,None,2,0.7673628777265549,311.61580972839147,None,311.61580972839147,None,311.61580972839147,None,313.6157090784982,None,1,0.9016499882563949,313.6157090784982,None,313.6157090784982,None,315.61454806197435,None,315.61454806197435,None,2,0.9238728601485491,315.61454806197435,None,None,,317.61965954862535,None,317.61965954862535,None,317.61965954862535,None,319.61500128451735,None,319.61500128451735,None,1,1.2860101973637938,319.61500128451735,None,321.6149890543893,None,321.6149890543893,None,1,1.1667376905679703,321.6149890543893,None,001,39,2020_Jan_17_1344,viewing,3.1.2,None,
north.png,stims/wedding-20.1a.mp4,stims/wedding-20.1b.mp4,stims/wedding-20.2b.mp4,stims/wedding-20.3b.mp4,stims/wedding-20.4b.mp4,stims/wedding-20.5.mp4,stimsday2details/newpainting14.png,stimsday2details/painting20.png,stimsday2details/newperson27.png,stimsday2details/couple20.png,stimsday2details/gift20.png,stimsday2details/new27.png,stimsday2details/cn20.png,stimsday2details/n20.png,stimsday2details/t20.png,stimsday2details/ct20.png,0,2,2,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,39,2020_Jan_17_1344,viewing,3.1.2,None,
north.png,stims/wedding-20.1a.mp4,stims/wedding-20.1b.mp4,stims/wedding-20.2b.mp4,stims/wedding-20.3b.mp4,stims/wedding-20.4b.mp4,stims/wedding-20.5.mp4,stimsday2details/newpainting14.png,stimsday2details/painting20.png,stimsday2details/newperson27.png,stimsday2details/couple20.png,stimsday2details/gift20.png,stimsday2details/new27.png,stimsday2details/cn20.png,stimsday2details/n20.png,stimsday2details/t20.png,stimsday2details/ct20.png,0,2,2,2,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,323.68206935562193,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,39,2020_Jan_17_1344,viewing,3.1.2,None,
north.png,stims/wedding-20.1a.mp4,stims/wedding-20.1b.mp4,stims/wedding-20.2b.mp4,stims/wedding-20.3b.mp4,stims/wedding-20.4b.mp4,stims/wedding-20.5.mp4,stimsday2details/newpainting14.png,stimsday2details/painting20.png,stimsday2details/newperson27.png,stimsday2details/couple20.png,stimsday2details/gift20.png,stimsday2details/new27.png,stimsday2details/cn20.png,stimsday2details/n20.png,stimsday2details/t20.png,stimsday2details/ct20.png,0,2,2,2,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,2.8750694300979376,None,333.64760877750814,358.7475778590888,358.7646624352783,None,367.7644034847617,None,384.76418875157833,407.7463848441839,407.7637743894011,None,431.76392685528845,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,39,2020_Jan_17_1344,viewing,3.1.2,None,
north.png,stims/wedding-20.1a.mp4,stims/wedding-20.1b.mp4,stims/wedding-20.2b.mp4,stims/wedding-20.3b.mp4,stims/wedding-20.4b.mp4,stims/wedding-20.5.mp4,stimsday2details/newpainting14.png,stimsday2details/painting20.png,stimsday2details/newperson27.png,stimsday2details/couple20.png,stimsday2details/gift20.png,stimsday2details/new27.png,stimsday2details/cn20.png,stimsday2details/n20.png,stimsday2details/t20.png,stimsday2details/ct20.png,0,2,2,2,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,39,2020_Jan_17_1344,viewing,3.1.2,None,
north.png,stims/wedding-20.1a.mp4,stims/wedding-20.1b.mp4,stims/wedding-20.2b.mp4,stims/wedding-20.3b.mp4,stims/wedding-20.4b.mp4,stims/wedding-20.5.mp4,stimsday2details/newpainting14.png,stimsday2details/painting20.png,stimsday2details/newperson27.png,stimsday2details/couple20.png,stimsday2details/gift20.png,stimsday2details/new27.png,stimsday2details/cn20.png,stimsday2details/n20.png,stimsday2details/t20.png,stimsday2details/ct20.png,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.566965460777283e-05,None,2,0.8156888391822577,454.41725192498416,None,454.41725192498416,None,454.41725192498416,None,456.41393587365746,None,2,0.6010299604386091,456.41393587365746,None,456.41393587365746,None,458.4137454293668,None,458.4137454293668,None,2,0.6727767530828714,458.4137454293668,None,1,1.9153407430276275,460.4166681552306,None,460.4166681552306,None,460.4166681552306,None,462.413800759241,None,462.413800759241,None,1,0.6657165996730328,462.413800759241,None,464.41289275325835,None,464.41289275325835,None,1,0.6233164640143514,464.41289275325835,None,001,39,2020_Jan_17_1344,viewing,3.1.2,None,
south.png,stims/wedding-28.1a.mp4,stims/wedding-28.1b.mp4,stims/wedding-28.2a.mp4,stims/wedding-28.3b.mp4,stims/wedding-28.4a.mp4,stims/wedding-28.5.mp4,stimsday2details/newegg14.png,stimsday2details/egg28.png,stimsday2details/couple28.png,stimsday2details/newperson28.png,stimsday2details/gift28.png,stimsday2details/new28.png,stimsday2details/cn28.png,stimsday2details/n28.png,stimsday2details/t28.png,stimsday2details/ct28.png,0,3,3,3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,466.41323079075664,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,39,2020_Jan_17_1344,viewing,3.1.2,None,
south.png,stims/wedding-28.1a.mp4,stims/wedding-28.1b.mp4,stims/wedding-28.2a.mp4,stims/wedding-28.3b.mp4,stims/wedding-28.4a.mp4,stims/wedding-28.5.mp4,stimsday2details/newegg14.png,stimsday2details/egg28.png,stimsday2details/couple28.png,stimsday2details/newperson28.png,stimsday2details/gift28.png,stimsday2details/new28.png,stimsday2details/cn28.png,stimsday2details/n28.png,stimsday2details/t28.png,stimsday2details/ct28.png,0,3,3,3,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,39,2020_Jan_17_1344,viewing,3.1.2,None,
south.png,stims/wedding-28.1a.mp4,stims/wedding-28.1b.mp4,stims/wedding-28.2a.mp4,stims/wedding-28.3b.mp4,stims/wedding-28.4a.mp4,stims/wedding-28.5.mp4,stimsday2details/newegg14.png,stimsday2details/egg28.png,stimsday2details/couple28.png,stimsday2details/newperson28.png,stimsday2details/gift28.png,stimsday2details/new28.png,stimsday2details/cn28.png,stimsday2details/n28.png,stimsday2details/t28.png,stimsday2details/ct28.png,0,3,3,3,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,3.026336316950619,None,476.6302360855043,501.5953404409811,501.6132249450311,None,510.6135946530849,527.5954313827679,527.6115841483697,550.595177420415,550.6119501143694,574.5951983397827,574.6110368706286,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,39,2020_Jan_17_1344,viewing,3.1.2,None,
