,onsets,offsets,weddNr
0,447.0,485.0,1.0
1,318.0,368.0,2.0
2,281.0,317.0,6.0
3,486.0,99998.0,17.0
4,138.0,192.0,19.0
5,414.0,446.0,20.0
6,40.0,99.0,22.0
7,193.0,236.0,23.0
8,3.0,39.0,28.0
9,100.0,137.0,29.0
10,369.0,413.0,34.0
11,237.0,280.0,38.0
