leftimage,rightimage,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,leftimageLoc.started,leftimageLoc.stopped,rightimageLoc.started,rightimageLoc.stopped,answer.keys,answer.rt,answer.started,answer.stopped,Q.started,Q.stopped,ITIfixation.started,ITIfixation.stopped,session,participant,date,expName,psychopyVersion,frameRate,
stimsday2details/wedding29.png,stimsday2details/wedding20.png,0,0,0,21,12.571758891000172,None,12.571758891000172,None,l,22.092045723999945,12.571758891000172,None,12.571758891000172,None,34.688414838000426,None,001,23,2019_Oct_29_1228,sequencetask,3.1.3,59.72600230570365,
stimsday2details/wedding38.png,stimsday2details/wedding2.png,0,1,1,3,36.50530993200027,None,36.50530993200027,None,k,6.144517517000168,36.50530993200027,None,36.50530993200027,None,42.67241946100012,None,001,23,2019_Oct_29_1228,sequencetask,3.1.3,59.72600230570365,
stimsday2details/wedding6.png,stimsday2details/wedding38.png,0,2,2,2,44.44009102900009,None,44.44009102900009,None,k,6.185282187000212,44.44009102900009,None,44.44009102900009,None,50.65539908000028,None,001,23,2019_Oct_29_1228,sequencetask,3.1.3,59.72600230570365,
stimsday2details/wedding38.png,stimsday2details/wedding6.png,0,3,3,13,52.39409593800019,None,52.39409593800019,None,l,4.605009942999914,52.39409593800019,None,52.39409593800019,None,57.02135242800023,None,001,23,2019_Oct_29_1228,sequencetask,3.1.3,59.72600230570365,
stimsday2details/wedding17.png,stimsday2details/wedding19.png,0,4,4,19,58.854995626000346,None,58.854995626000346,None,l,22.011888485000327,58.854995626000346,None,58.854995626000346,None,80.88846588800016,None,001,23,2019_Oct_29_1228,sequencetask,3.1.3,59.72600230570365,
stimsday2details/wedding1.png,stimsday2details/wedding19.png,0,5,5,7,82.65959599000007,None,82.65959599000007,None,k,7.285050598999987,82.65959599000007,None,82.65959599000007,None,89.97134772100026,None,001,23,2019_Oct_29_1228,sequencetask,3.1.3,59.72600230570365,
stimsday2details/wedding28.png,stimsday2details/wedding22.png,0,6,6,0,91.79189541600044,None,91.79189541600044,None,k,4.423063376999835,91.79189541600044,None,91.79189541600044,None,96.23833432400033,None,001,23,2019_Oct_29_1228,sequencetask,3.1.3,59.72600230570365,
stimsday2details/wedding20.png,stimsday2details/wedding17.png,0,7,7,20,97.97107241100002,None,97.97107241100002,None,k,5.903137741000137,97.97107241100002,None,97.97107241100002,None,103.90430806600034,None,001,23,2019_Oct_29_1228,sequencetask,3.1.3,59.72600230570365,
stimsday2details/wedding22.png,stimsday2details/wedding28.png,0,8,8,11,105.6379562750003,None,105.6379562750003,None,l,9.742915033999907,105.6379562750003,None,105.6379562750003,None,115.40473115600025,None,001,23,2019_Oct_29_1228,sequencetask,3.1.3,59.72600230570365,
stimsday2details/wedding34.png,stimsday2details/wedding23.png,0,9,9,5,117.20984402500017,None,117.20984402500017,None,k,8.056584034000025,117.20984402500017,None,117.20984402500017,None,125.28777064900032,None,001,23,2019_Oct_29_1228,sequencetask,3.1.3,59.72600230570365,
stimsday2details/wedding19.png,stimsday2details/wedding1.png,0,10,10,18,127.02135343200007,None,127.02135343200007,None,k,3.5976839179998024,127.02135343200007,None,127.02135343200007,None,130.637469323,None,001,23,2019_Oct_29_1228,sequencetask,3.1.3,59.72600230570365,
stimsday2details/wedding1.png,stimsday2details/wedding23.png,0,11,11,17,132.37105696400022,None,132.37105696400022,None,k,7.3023995989997275,132.37105696400022,None,132.37105696400022,None,139.70396383800016,None,001,23,2019_Oct_29_1228,sequencetask,3.1.3,59.72600230570365,
stimsday2details/wedding19.png,stimsday2details/wedding17.png,0,12,12,8,141.43700362000027,None,141.43700362000027,None,k,8.438491512999917,141.43700362000027,None,141.43700362000027,None,149.90366867000012,None,001,23,2019_Oct_29_1228,sequencetask,3.1.3,59.72600230570365,
stimsday2details/wedding23.png,stimsday2details/wedding34.png,0,13,13,16,151.63760907700043,None,151.63760907700043,None,l,2.8125053040002967,151.63760907700043,None,151.63760907700043,None,154.47081893200038,None,001,23,2019_Oct_29_1228,sequencetask,3.1.3,59.72600230570365,
stimsday2details/wedding2.png,stimsday2details/wedding34.png,0,14,14,4,156.20512088900023,None,156.20512088900023,None,k,9.985301735999656,156.20512088900023,None,156.20512088900023,None,166.22017937600003,None,001,23,2019_Oct_29_1228,sequencetask,3.1.3,59.72600230570365,
stimsday2details/wedding23.png,stimsday2details/wedding1.png,0,15,15,6,167.9535266920002,None,167.9535266920002,None,k,2.543418040999768,167.9535266920002,None,167.9535266920002,None,170.5206604660002,None,001,23,2019_Oct_29_1228,sequencetask,3.1.3,59.72600230570365,
stimsday2details/wedding20.png,stimsday2details/wedding29.png,0,16,16,10,172.25397162800027,None,172.25397162800027,None,k,7.068977534000169,172.25397162800027,None,172.25397162800027,None,179.3534891510003,None,001,23,2019_Oct_29_1228,sequencetask,3.1.3,59.72600230570365,
stimsday2details/wedding22.png,stimsday2details/wedding6.png,0,17,17,1,181.12001885300015,None,181.12001885300015,None,k,6.550363586000003,181.12001885300015,None,181.12001885300015,None,187.68607956600044,None,001,23,2019_Oct_29_1228,sequencetask,3.1.3,59.72600230570365,
stimsday2details/wedding2.png,stimsday2details/wedding38.png,0,18,18,14,189.4202104990004,None,189.4202104990004,None,l,5.694276226000056,189.4202104990004,None,189.4202104990004,None,195.13681294000025,None,001,23,2019_Oct_29_1228,sequencetask,3.1.3,59.72600230570365,
stimsday2details/wedding6.png,stimsday2details/wedding22.png,0,19,19,12,196.86974973000042,None,196.86974973000042,None,l,3.160428727999715,196.86974973000042,None,196.86974973000042,None,200.0529454990001,None,001,23,2019_Oct_29_1228,sequencetask,3.1.3,59.72600230570365,
stimsday2details/wedding34.png,stimsday2details/wedding2.png,0,20,20,15,201.7705283180003,None,201.7705283180003,None,l,8.67064722799978,201.7705283180003,None,201.7705283180003,None,210.46948582200002,None,001,23,2019_Oct_29_1228,sequencetask,3.1.3,59.72600230570365,
stimsday2details/wedding17.png,stimsday2details/wedding20.png,0,21,21,9,212.20346247100042,None,212.20346247100042,None,l,5.564254020000135,212.20346247100042,None,212.20346247100042,None,217.78629397600025,None,001,23,2019_Oct_29_1228,sequencetask,3.1.3,59.72600230570365,
