cue,n,cueImage.started_mean,cueImage.started_raw,cueImage.started_std,cueImage.stopped_raw,keyToMoveOn.keys_raw,keyToMoveOn.rt_mean,keyToMoveOn.rt_raw,keyToMoveOn.rt_std,keyToMoveOn.started_mean,keyToMoveOn.started_raw,keyToMoveOn.started_std,keyToMoveOn.stopped_raw,text.started_mean,text.started_raw,text.started_std,text.stopped_raw,order
stimsday2details/C1.png,1.0,555.7349243164062,555.7349243164062,0.0,,'space',20.287954330444336,20.287954330444336,0.0,555.7349243164062,555.7349243164062,0.0,,555.7349243164062,555.7349243164062,0.0,,11.0
stimsday2details/C2.png,1.0,277.38787841796875,277.38787841796875,0.0,,'space',65.78768920898438,65.78768920898438,0.0,277.38787841796875,277.38787841796875,0.0,,277.38787841796875,277.38787841796875,0.0,,5.0
stimsday2details/C6.png,1.0,208.58815002441406,208.58815002441406,0.0,,'space',68.638916015625,68.638916015625,0.0,208.58815002441406,208.58815002441406,0.0,,208.58815002441406,208.58815002441406,0.0,,4.0
stimsday2details/C17.png,1.0,182.20530700683594,182.20530700683594,0.0,,'space',26.222492218017578,26.222492218017578,0.0,182.20530700683594,182.20530700683594,0.0,,182.20530700683594,182.20530700683594,0.0,,3.0
stimsday2details/C19.png,1.0,487.0513916015625,487.0513916015625,0.0,,'space',42.83535385131836,42.83535385131836,0.0,487.0513916015625,487.0513916015625,0.0,,487.0513916015625,487.0513916015625,0.0,,9.0
stimsday2details/C20.png,1.0,29.557355880737305,29.557355880737305,0.0,,'space',48.08473587036133,48.08473587036133,0.0,29.557355880737305,29.557355880737305,0.0,,29.557355880737305,29.557355880737305,0.0,,0.0
stimsday2details/C22.png,1.0,530.056640625,530.056640625,0.0,,'space',25.512229919433594,25.512229919433594,0.0,530.056640625,530.056640625,0.0,,530.056640625,530.056640625,0.0,,10.0
stimsday2details/C23.png,1.0,343.3532409667969,343.3532409667969,0.0,,'space',66.55577087402344,66.55577087402344,0.0,343.3532409667969,343.3532409667969,0.0,,343.3532409667969,343.3532409667969,0.0,,6.0
stimsday2details/C28.png,1.0,77.82425689697266,77.82425689697266,0.0,,'space',63.88801574707031,63.88801574707031,0.0,77.82425689697266,77.82425689697266,0.0,,77.82425689697266,77.82425689697266,0.0,,1.0
stimsday2details/C29.png,1.0,442.6573486328125,442.6573486328125,0.0,,'space',44.21354675292969,44.21354675292969,0.0,442.6573486328125,442.6573486328125,0.0,,442.6573486328125,442.6573486328125,0.0,,8.0
stimsday2details/C34.png,1.0,141.8733367919922,141.8733367919922,0.0,,'space',40.166866302490234,40.166866302490234,0.0,141.8733367919922,141.8733367919922,0.0,,141.8733367919922,141.8733367919922,0.0,,2.0
stimsday2details/C38.png,1.0,410.0865478515625,410.0865478515625,0.0,,'space',32.409576416015625,32.409576416015625,0.0,410.0865478515625,410.0865478515625,0.0,,410.0865478515625,410.0865478515625,0.0,,7.0

extraInfo
session,001
participant,23
date,2019_Oct_29_1205
expName,recall
psychopyVersion,3.1.2
frameRate,60.00091681959308
