cue,n,cueImage.started_mean,cueImage.started_raw,cueImage.started_std,cueImage.stopped_raw,keyToMoveOn.keys_raw,keyToMoveOn.rt_mean,keyToMoveOn.rt_raw,keyToMoveOn.rt_std,keyToMoveOn.started_mean,keyToMoveOn.started_raw,keyToMoveOn.started_std,keyToMoveOn.stopped_raw,text.started_mean,text.started_raw,text.started_std,text.stopped_raw,order
stimsday2details/C1.png,1.0,539.4135131835938,539.4135131835938,0.0,,'space',69.43278503417969,69.43278503417969,0.0,539.4135131835938,539.4135131835938,0.0,,539.4135131835938,539.4135131835938,0.0,,6.0
stimsday2details/C2.png,1.0,268.533447265625,268.533447265625,0.0,,'space',80.8177261352539,80.8177261352539,0.0,268.533447265625,268.533447265625,0.0,,268.533447265625,268.533447265625,0.0,,3.0
stimsday2details/C6.png,1.0,890.9424438476562,890.9424438476562,0.0,,'space',76.33464050292969,76.33464050292969,0.0,890.9424438476562,890.9424438476562,0.0,,890.9424438476562,890.9424438476562,0.0,,11.0
stimsday2details/C17.png,1.0,349.51580810546875,349.51580810546875,0.0,,'space',91.28474426269531,91.28474426269531,0.0,349.51580810546875,349.51580810546875,0.0,,349.51580810546875,349.51580810546875,0.0,,4.0
stimsday2details/C19.png,1.0,166.61805725097656,166.61805725097656,0.0,,'space',101.75067901611328,101.75067901611328,0.0,166.61805725097656,166.61805725097656,0.0,,166.61805725097656,166.61805725097656,0.0,,2.0
stimsday2details/C20.png,1.0,753.044189453125,753.044189453125,0.0,,'space',76.28428649902344,76.28428649902344,0.0,753.044189453125,753.044189453125,0.0,,753.044189453125,753.044189453125,0.0,,9.0
stimsday2details/C22.png,1.0,440.947998046875,440.947998046875,0.0,,'space',98.30103302001953,98.30103302001953,0.0,440.947998046875,440.947998046875,0.0,,440.947998046875,440.947998046875,0.0,,5.0
stimsday2details/C23.png,1.0,829.5098876953125,829.5098876953125,0.0,,'space',61.28509521484375,61.28509521484375,0.0,829.5098876953125,829.5098876953125,0.0,,829.5098876953125,829.5098876953125,0.0,,10.0
stimsday2details/C28.png,1.0,667.1285400390625,667.1285400390625,0.0,,'space',85.75101470947266,85.75101470947266,0.0,667.1285400390625,667.1285400390625,0.0,,667.1285400390625,667.1285400390625,0.0,,8.0
stimsday2details/C29.png,1.0,609.0125732421875,609.0125732421875,0.0,,'space',57.951568603515625,57.951568603515625,0.0,609.0125732421875,609.0125732421875,0.0,,609.0125732421875,609.0125732421875,0.0,,7.0
stimsday2details/C34.png,1.0,35.60301971435547,35.60301971435547,0.0,,'space',70.8174819946289,70.8174819946289,0.0,35.60301971435547,35.60301971435547,0.0,,35.60301971435547,35.60301971435547,0.0,,0.0
stimsday2details/C38.png,1.0,106.60220336914062,106.60220336914062,0.0,,'space',59.85101318359375,59.85101318359375,0.0,106.60220336914062,106.60220336914062,0.0,,106.60220336914062,106.60220336914062,0.0,,1.0

extraInfo
session,001
participant,17
date,2019_Sep_18_0955
expName,recall
psychopyVersion,3.1.2
frameRate,60.01599380423419
