1.8366 	WARNING 	Import Error: No module named 'psychtoolbox'. Using event module for keyboard component.
5.2274 	WARNING 	User requested fullscreen with size [2560 1440], but screen is actually [1920, 1080]. Using actual size
5.8461 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([0., 0., 0.]), colorSpace='rgb', fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x1324cb8860>, gamma=None, kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x13269483c8>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1080]), stereo=False, units='norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
5.8461 	EXP 	window1: recordFrameIntervals = False
6.0120 	EXP 	window1: recordFrameIntervals = True
6.1956 	EXP 	window1: recordFrameIntervals = False
6.3182 	EXP 	Created text_2 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='text_2', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='Waiting for experimenter...', units='norm', win=Window(...), wrapWidth=1)
6.3269 	EXP 	Created waiting = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='waiting', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='Waiting for scanner...', units='norm', win=Window(...), wrapWidth=1)
6.3335 	EXP 	Created cueImage = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='cueImage', opacity=1.0, ori=0.0, pos=array([0. , 0.2]), size=array([0.8, 0.8]), texRes=128, units='norm', win=Window(...))
6.3654 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0, pos=array([ 0. , -0.5]), rgb=array([255., 255., 255.]), text=str(...), units='norm', win=Window(...), wrapWidth=1)
6.4120 	EXP 	text_2: autoDraw = True
7.1656 	DATA 	Keypress: g
7.1786 	EXP 	text_2: autoDraw = False
7.1786 	EXP 	waiting: autoDraw = True
27.2803 	DATA 	Keypress: equal
27.2884 	EXP 	Imported recall.csv as conditions, 12 conditions, 1 params
27.2889 	EXP 	Created sequence: random, trialTypes=12, nReps=1, seed=None
27.2893 	EXP 	New trial (rep=0, index=0): OrderedDict([('cue', 'stimsday2details/C6.png')])
27.3283 	EXP 	waiting: autoDraw = False
27.3283 	EXP 	cueImage: image = 'stimsday2details/C6.png'
27.3283 	EXP 	cueImage: autoDraw = True
27.3283 	EXP 	text: autoDraw = True
28.7801 	DATA 	Keypress: equal
30.2802 	DATA 	Keypress: equal
31.7799 	DATA 	Keypress: equal
33.2800 	DATA 	Keypress: equal
34.7803 	DATA 	Keypress: equal
36.2802 	DATA 	Keypress: equal
37.7799 	DATA 	Keypress: equal
39.2800 	DATA 	Keypress: equal
40.7799 	DATA 	Keypress: equal
42.2800 	DATA 	Keypress: equal
43.7800 	DATA 	Keypress: equal
45.2799 	DATA 	Keypress: equal
46.7799 	DATA 	Keypress: equal
48.2800 	DATA 	Keypress: equal
49.7799 	DATA 	Keypress: equal
51.2798 	DATA 	Keypress: equal
52.7800 	DATA 	Keypress: equal
54.2799 	DATA 	Keypress: equal
55.2463 	DATA 	Keypress: space
55.3875 	EXP 	New trial (rep=0, index=1): OrderedDict([('cue', 'stimsday2details/C2.png')])
55.4113 	EXP 	cueImage: autoDraw = False
55.4113 	EXP 	text: autoDraw = False
55.4113 	EXP 	cueImage: image = 'stimsday2details/C2.png'
55.4113 	EXP 	cueImage: autoDraw = True
55.4113 	EXP 	text: autoDraw = True
55.7800 	DATA 	Keypress: equal
57.2798 	DATA 	Keypress: equal
58.7797 	DATA 	Keypress: equal
60.2799 	DATA 	Keypress: equal
61.7799 	DATA 	Keypress: equal
63.2799 	DATA 	Keypress: equal
64.7797 	DATA 	Keypress: equal
66.2804 	DATA 	Keypress: equal
67.7796 	DATA 	Keypress: equal
69.2796 	DATA 	Keypress: equal
70.7795 	DATA 	Keypress: equal
72.2796 	DATA 	Keypress: equal
73.7795 	DATA 	Keypress: equal
75.2796 	DATA 	Keypress: equal
76.7795 	DATA 	Keypress: equal
78.2798 	DATA 	Keypress: equal
79.7795 	DATA 	Keypress: equal
81.2794 	DATA 	Keypress: equal
82.7798 	DATA 	Keypress: equal
84.2794 	DATA 	Keypress: equal
85.7797 	DATA 	Keypress: equal
87.2794 	DATA 	Keypress: equal
87.5292 	DATA 	Keypress: space
87.6643 	EXP 	New trial (rep=0, index=2): OrderedDict([('cue', 'stimsday2details/C34.png')])
87.6944 	EXP 	cueImage: autoDraw = False
87.6944 	EXP 	text: autoDraw = False
87.6944 	EXP 	cueImage: image = 'stimsday2details/C34.png'
87.6944 	EXP 	cueImage: autoDraw = True
87.6944 	EXP 	text: autoDraw = True
88.7794 	DATA 	Keypress: equal
90.2793 	DATA 	Keypress: equal
91.7796 	DATA 	Keypress: equal
93.2796 	DATA 	Keypress: equal
94.7794 	DATA 	Keypress: equal
96.2793 	DATA 	Keypress: equal
97.7795 	DATA 	Keypress: equal
99.2797 	DATA 	Keypress: equal
100.7792 	DATA 	Keypress: equal
102.2795 	DATA 	Keypress: equal
103.7795 	DATA 	Keypress: equal
105.2792 	DATA 	Keypress: equal
106.7793 	DATA 	Keypress: equal
108.2791 	DATA 	Keypress: equal
109.7794 	DATA 	Keypress: equal
111.2794 	DATA 	Keypress: equal
112.7792 	DATA 	Keypress: equal
114.2794 	DATA 	Keypress: equal
115.7789 	DATA 	Keypress: equal
117.2792 	DATA 	Keypress: equal
118.7792 	DATA 	Keypress: equal
120.2792 	DATA 	Keypress: equal
121.7789 	DATA 	Keypress: equal
123.2790 	DATA 	Keypress: equal
124.7791 	DATA 	Keypress: equal
126.2790 	DATA 	Keypress: equal
127.7789 	DATA 	Keypress: equal
128.0618 	DATA 	Keypress: space
128.2080 	EXP 	New trial (rep=0, index=3): OrderedDict([('cue', 'stimsday2details/C17.png')])
128.2272 	EXP 	cueImage: autoDraw = False
128.2272 	EXP 	text: autoDraw = False
128.2272 	EXP 	cueImage: image = 'stimsday2details/C17.png'
128.2272 	EXP 	cueImage: autoDraw = True
128.2272 	EXP 	text: autoDraw = True
129.2790 	DATA 	Keypress: equal
130.7790 	DATA 	Keypress: equal
132.2788 	DATA 	Keypress: equal
133.7789 	DATA 	Keypress: equal
135.2788 	DATA 	Keypress: equal
136.7789 	DATA 	Keypress: equal
138.2789 	DATA 	Keypress: equal
139.7787 	DATA 	Keypress: equal
141.2792 	DATA 	Keypress: equal
142.7787 	DATA 	Keypress: equal
144.2787 	DATA 	Keypress: equal
145.7786 	DATA 	Keypress: equal
147.2790 	DATA 	Keypress: equal
148.7786 	DATA 	Keypress: equal
150.2789 	DATA 	Keypress: equal
151.7788 	DATA 	Keypress: equal
153.2786 	DATA 	Keypress: equal
154.7789 	DATA 	Keypress: equal
156.2786 	DATA 	Keypress: equal
157.7788 	DATA 	Keypress: equal
158.0284 	DATA 	Keypress: space
158.1971 	EXP 	New trial (rep=0, index=4): OrderedDict([('cue', 'stimsday2details/C28.png')])
158.2267 	EXP 	cueImage: autoDraw = False
158.2267 	EXP 	text: autoDraw = False
158.2267 	EXP 	cueImage: image = 'stimsday2details/C28.png'
158.2267 	EXP 	cueImage: autoDraw = True
158.2267 	EXP 	text: autoDraw = True
159.2786 	DATA 	Keypress: equal
160.7787 	DATA 	Keypress: equal
162.2640 	DATA 	Keypress: equal
163.7785 	DATA 	Keypress: equal
165.2784 	DATA 	Keypress: equal
166.7784 	DATA 	Keypress: equal
168.2784 	DATA 	Keypress: equal
169.7787 	DATA 	Keypress: equal
171.2785 	DATA 	Keypress: equal
172.7783 	DATA 	Keypress: equal
174.2783 	DATA 	Keypress: equal
175.7783 	DATA 	Keypress: equal
177.2783 	DATA 	Keypress: equal
178.7786 	DATA 	Keypress: equal
180.2785 	DATA 	Keypress: equal
181.7786 	DATA 	Keypress: equal
183.2633 	DATA 	Keypress: equal
184.7630 	DATA 	Keypress: equal
186.2631 	DATA 	Keypress: equal
187.7634 	DATA 	Keypress: equal
189.2630 	DATA 	Keypress: equal
190.7635 	DATA 	Keypress: equal
192.2636 	DATA 	Keypress: equal
193.7630 	DATA 	Keypress: equal
195.2629 	DATA 	Keypress: equal
196.7633 	DATA 	Keypress: equal
197.0115 	DATA 	Keypress: space
197.1707 	EXP 	New trial (rep=0, index=5): OrderedDict([('cue', 'stimsday2details/C38.png')])
197.1930 	EXP 	cueImage: autoDraw = False
197.1930 	EXP 	text: autoDraw = False
197.1930 	EXP 	cueImage: image = 'stimsday2details/C38.png'
197.1930 	EXP 	cueImage: autoDraw = True
197.1930 	EXP 	text: autoDraw = True
198.2633 	DATA 	Keypress: equal
199.7632 	DATA 	Keypress: equal
201.2783 	DATA 	Keypress: equal
202.7629 	DATA 	Keypress: equal
204.2779 	DATA 	Keypress: equal
205.7631 	DATA 	Keypress: equal
207.2631 	DATA 	Keypress: equal
208.7630 	DATA 	Keypress: equal
210.2627 	DATA 	Keypress: equal
211.7627 	DATA 	Keypress: equal
213.2627 	DATA 	Keypress: equal
214.7620 	DATA 	Keypress: equal
216.2626 	DATA 	Keypress: equal
217.7627 	DATA 	Keypress: equal
219.2627 	DATA 	Keypress: equal
220.7625 	DATA 	Keypress: equal
222.2631 	DATA 	Keypress: equal
223.7629 	DATA 	Keypress: equal
225.2629 	DATA 	Keypress: equal
226.7625 	DATA 	Keypress: equal
227.0107 	DATA 	Keypress: space
227.1661 	EXP 	New trial (rep=0, index=6): OrderedDict([('cue', 'stimsday2details/C23.png')])
227.1925 	EXP 	cueImage: autoDraw = False
227.1925 	EXP 	text: autoDraw = False
227.1925 	EXP 	cueImage: image = 'stimsday2details/C23.png'
227.1925 	EXP 	cueImage: autoDraw = True
227.1925 	EXP 	text: autoDraw = True
228.2623 	DATA 	Keypress: equal
229.7623 	DATA 	Keypress: equal
231.2626 	DATA 	Keypress: equal
232.7610 	DATA 	Keypress: equal
234.2609 	DATA 	Keypress: equal
235.7612 	DATA 	Keypress: equal
237.2613 	DATA 	Keypress: equal
238.7613 	DATA 	Keypress: equal
240.2613 	DATA 	Keypress: equal
241.7610 	DATA 	Keypress: equal
243.2611 	DATA 	Keypress: equal
244.7613 	DATA 	Keypress: equal
246.2612 	DATA 	Keypress: equal
246.5103 	DATA 	Keypress: space
246.6727 	EXP 	New trial (rep=0, index=7): OrderedDict([('cue', 'stimsday2details/C20.png')])
246.6922 	EXP 	cueImage: autoDraw = False
246.6922 	EXP 	text: autoDraw = False
246.6922 	EXP 	cueImage: image = 'stimsday2details/C20.png'
246.6922 	EXP 	cueImage: autoDraw = True
