leftimage,rightimage,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,leftimageLoc.started,leftimageLoc.stopped,rightimageLoc.started,rightimageLoc.stopped,answer.keys,answer.rt,answer.started,answer.stopped,Q.started,Q.stopped,ITIfixation.started,ITIfixation.stopped,session,participant,date,expName,psychopyVersion,frameRate,
stimsday2details/wedding22.png,stimsday2details/wedding2.png,0,0,0,3,9.2873377599999,None,9.2873377599999,None,l,13.87821707799958,9.2873377599999,None,9.2873377599999,None,23.206316587999936,None,001,38,2020_Jan_14_1629,sequencetask,3.1.3,59.95748702416672,
stimsday2details/wedding2.png,stimsday2details/wedding19.png,0,1,1,4,24.956767481000497,None,24.956767481000497,None,k,4.7824162059996524,24.956767481000497,None,24.956767481000497,None,29.770907467999677,None,001,38,2020_Jan_14_1629,sequencetask,3.1.3,59.95748702416672,
stimsday2details/wedding17.png,stimsday2details/wedding38.png,0,2,2,6,31.52081890699992,None,31.52081890699992,None,k,6.202959248999832,31.52081890699992,None,31.52081890699992,None,37.75345101400035,None,001,38,2020_Jan_14_1629,sequencetask,3.1.3,59.95748702416672,
stimsday2details/wedding20.png,stimsday2details/wedding6.png,0,3,3,8,39.49031652099984,None,39.49031652099984,None,l,3.271632791000229,39.49031652099984,None,39.49031652099984,None,42.78733015800026,None,001,38,2020_Jan_14_1629,sequencetask,3.1.3,59.95748702416672,
stimsday2details/wedding1.png,stimsday2details/wedding22.png,0,4,4,2,44.540425303999655,None,44.540425303999655,None,l,7.690323322999575,44.540425303999655,None,44.540425303999655,None,52.25419314099963,None,001,38,2020_Jan_14_1629,sequencetask,3.1.3,59.95748702416672,
stimsday2details/wedding28.png,stimsday2details/wedding34.png,0,5,5,10,54.00468952099982,None,54.00468952099982,None,k,7.674656338999739,54.00468952099982,None,54.00468952099982,None,61.70377207199999,None,001,38,2020_Jan_14_1629,sequencetask,3.1.3,59.95748702416672,
stimsday2details/wedding6.png,stimsday2details/wedding20.png,0,6,6,19,63.43696536399966,None,63.43696536399966,None,k,5.025438994000069,63.43696536399966,None,63.43696536399966,None,68.48711884600016,None,001,38,2020_Jan_14_1629,sequencetask,3.1.3,59.95748702416672,
stimsday2details/wedding19.png,stimsday2details/wedding2.png,0,7,7,15,70.2213919220003,None,70.2213919220003,None,l,2.5549344210003255,70.2213919220003,None,70.2213919220003,None,72.80313418199967,None,001,38,2020_Jan_14_1629,sequencetask,3.1.3,59.95748702416672,
stimsday2details/wedding1.png,stimsday2details/wedding29.png,0,8,8,12,74.5403820370002,None,74.5403820370002,None,l,2.630436543000542,74.5403820370002,None,74.5403820370002,None,77.20345428099972,None,001,38,2020_Jan_14_1629,sequencetask,3.1.3,59.95748702416672,
stimsday2details/wedding19.png,stimsday2details/wedding17.png,0,9,9,5,78.93698739200045,None,78.93698739200045,None,l,14.41198198499933,78.93698739200045,None,78.93698739200045,None,93.37047015900043,None,001,38,2020_Jan_14_1629,sequencetask,3.1.3,59.95748702416672,
