Question,answer.thisRepN,answer.thisTrialN,answer.thisN,answer.thisIndex,QuestionNr.started,QuestionNr.stopped,answer1.response,answer1.rt,answer1.history,answer1.started,answer1.stopped,answer2.response,answer2.rt,answer2.history,answer2.started,answer2.stopped,answer3.response,answer3.rt,answer3.history,answer3.started,answer3.stopped,answer4.response,answer4.rt,answer4.history,answer4.started,answer4.stopped,answer5.response,answer5.rt,answer5.history,answer5.started,answer5.stopped,answer6.response,answer6.rt,answer6.history,answer6.started,answer6.stopped,blank.started,blank.stopped,session,participant,date,expName,psychopyVersion,frameRate,
"When a couple from the NORTH just planted a flower, the most likely next event is:",0,0,0,1,13.53703017700002,None,None,None,"[(None, 0.0), (3, 48.075), (1, 48.341), (0, 50.575)]",0.17950837699999056,None,0,64.219,"[(None, 0.0), (4, 37.934), (3, 38.234), (0, 38.272), (0, 64.219)]",0.17950837699999056,None,None,None,"[(None, 0.0), (3, 40.763), (2, 41.133), (0, 41.168)]",0.17950837699999056,None,None,None,"[(None, 0.0), (100, 33.939)]",0.17950837699999056,None,None,None,"[(None, 0.0), (3, 43.26), (0, 43.561)]",0.17950837699999056,None,None,None,"[(None, 0.0), (2, 45.692), (0, 45.925)]",0.17950837699999056,None,77.75351514100004,None,001,3,2019_Jul_09_1629,schematest,3.1.3,60.86572485479192,
"When a couple from the SOUTH just planted a flower, the most likely next event is:",0,1,1,5,78.43696636700003,None,0,26.361,"[(None, 0.0), (0, 17.461), (0, 26.361)]",0.158044775999997,None,None,None,"[(None, 0.0), (0, 15.323)]",0.158044775999997,None,None,None,"[(None, 0.0), (100, 11.156)]",0.158044775999997,None,None,None,"[(None, 0.0), (0, 19.591)]",0.158044775999997,None,None,None,"[(None, 0.0), (1, 21.454), (0, 21.722)]",0.158044775999997,None,None,None,"[(None, 0.0), (0, 23.786)]",0.158044775999997,None,104.80336317000001,None,001,3,2019_Jul_09_1629,schematest,3.1.3,60.86572485479192,
"When a couple from the NORTH just dropped a coin into a bowl, the most likely next event is:",0,2,2,2,105.486402425,None,None,None,"[(None, 0.0), (6, 17.997), (0, 18.298)]",0.15601500299999316,None,0,35.728,"[(None, 0.0), (2, 28.829), (1, 29.129), (0, 29.166), (0, 35.727)]",0.15601500299999316,None,None,None,"[(None, 0.0), (11, 25.592), (8, 25.86), (2, 25.896), (0, 25.928)]",0.15601500299999316,None,None,None,"[(None, 0.0), (4, 30.959), (0, 31.192)]",0.15601500299999316,None,None,None,"[(None, 0.0), (80, 14.254)]",0.15601500299999316,None,None,None,"[(None, 0.0), (20, 23.252)]",0.15601500299999316,None,141.219557679,None,001,3,2019_Jul_09_1629,schematest,3.1.3,60.86572485479192,
"When a couple from the NORTH just celebrated around a campfire, the most likely next event is:",0,3,3,0,141.902160218,None,None,None,"[(None, 0.0), (0, 9.383)]",0.15329447400000618,None,None,None,"[(None, 0.0), (0, 13.248)]",0.15329447400000618,None,None,None,"[(None, 0.0), (100, 7.144)]",0.15329447400000618,None,None,None,"[(None, 0.0), (0, 11.611)]",0.15329447400000618,None,None,None,"[(None, 0.0), (0, 14.744)]",0.15329447400000618,None,0,20.542,"[(None, 0.0), (0, 16.84), (0, 20.542)]",0.15329447400000618,None,162.45262008600002,None,001,3,2019_Jul_09_1629,schematest,3.1.3,60.86572485479192,
"When a couple from the SOUTH just celebrated around a campfire, the most likely next event is:",0,4,4,4,163.185526583,None,None,None,"[(None, 0.0), (0, 7.553)]",0.20068483300002526,None,None,None,"[(None, 0.0), (0, 10.582)]",0.20068483300002526,None,None,None,"[(None, 0.0), (0, 9.248)]",0.20068483300002526,None,100,14.116,"[(None, 0.0), (100, 4.612), (100, 14.116)]",0.20068483300002526,None,None,None,"[(None, 0.0), (0, 6.177)]",0.20068483300002526,None,None,None,"[(None, 0.0), (0, 12.077)]",0.20068483300002526,None,177.302395826,None,001,3,2019_Jul_09_1629,schematest,3.1.3,60.86572485479192,
"When a couple from the SOUTH just dropped a coin into a bowl, the most likely next event is:",0,5,5,6,177.98495181700002,None,0,18.267,"[(None, 0.0), (0, 9.799), (0, 18.267)]",0.15398942499996338,None,None,None,"[(None, 0.0), (0, 13.496)]",0.15398942499996338,None,None,None,"[(None, 0.0), (0, 11.294)]",0.15398942499996338,None,None,None,"[(None, 0.0), (0, 16.259)]",0.15398942499996338,None,None,None,"[(None, 0.0), (0, 14.858)]",0.15398942499996338,None,None,None,"[(None, 0.0), (98, 6.903), (100, 7.92)]",0.15398942499996338,None,196.25216484600003,None,001,3,2019_Jul_09_1629,schematest,3.1.3,60.86572485479192,
"When a couple from the SOUTH just held a torch together, the most likely next event is:",0,6,6,7,196.93542429900003,None,0,16.781,"[(None, 0.0), (0, 10.615), (0, 16.781)]",0.15310306499998205,None,None,None,"[(None, 0.0), (0, 12.081)]",0.15310306499998205,None,None,None,"[(None, 0.0), (0, 8.612)]",0.15310306499998205,None,None,None,"[(None, 0.0), (0, 13.645)]",0.15310306499998205,None,None,None,"[(None, 0.0), (100, 6.407)]",0.15310306499998205,None,None,None,"[(None, 0.0), (0, 15.539)]",0.15310306499998205,None,213.718356642,None,001,3,2019_Jul_09_1629,schematest,3.1.3,60.86572485479192,
"When a couple from the NORTH just held a torch together, the most likely next event is:",0,7,7,3,214.401913461,None,None,None,"[(None, 0.0), (0, 31.994)]",0.15563366800000722,None,None,None,"[(None, 0.0), (0, 28.993)]",0.15563366800000722,None,None,None,"[(None, 0.0), (0, 30.493)]",0.15563366800000722,None,None,None,"[(None, 0.0), (0, 27.456)]",0.15563366800000722,None,50,33.125,"[(None, 0.0), (50, 23.954), (50, 33.124)]",0.15563366800000722,None,None,None,"[(None, 0.0), (50, 25.452)]",0.15563366800000722,None,247.534692188,None,001,3,2019_Jul_09_1629,schematest,3.1.3,60.86572485479192,
