date,time,group,subject,build,blocknum,trialnum,blockcode,trialcode,pretrialpause,posttrialpause,trialduration,trialtimeout,response,correct,latency,stimulusnumber1,stimulusitem1,stimulusonset1,stimulusnumber2,stimulusitem2,stimulusonset2
103119,13:02:08,1,24,5.0.14.0,2,15,block2,pretrain,0,0,0,0,0,0,5000,7,C171.jpeg,-8,1,blank,3991
103119,13:02:08,1,24,5.0.14.0,2,16,block2,pretrain,0,0,0,0,0,0,5000,5,C61.jpeg,-8,1,blank,3991
103119,13:02:08,1,24,5.0.14.0,2,17,block2,pretrain,0,0,0,0,0,0,5000,14,C222.jpeg,-8,1,blank,3991
103119,13:02:08,1,24,5.0.14.0,2,18,block2,pretrain,0,0,0,0,0,0,5000,4,C22.jpeg,-8,1,blank,3991
103119,13:02:08,1,24,5.0.14.0,2,19,block2,pretrain,0,0,0,0,0,0,5000,1,C11.jpeg,-8,1,blank,3991
103119,13:02:08,1,24,5.0.14.0,2,20,block2,pretrain,0,0,0,0,0,0,5000,3,C21.jpeg,-8,1,blank,3991
103119,13:02:08,1,24,5.0.14.0,2,21,block2,pretrain,0,0,0,0,0,0,5000,12,C202.jpeg,-8,1,blank,3991
103119,13:02:08,1,24,5.0.14.0,2,22,block2,pretrain,0,0,0,0,0,0,5000,11,C201.jpeg,-8,1,blank,3991
103119,13:02:08,1,24,5.0.14.0,2,23,block2,pretrain,0,0,0,0,0,0,5000,10,C192.jpeg,-8,1,blank,3991
103119,13:02:08,1,24,5.0.14.0,2,24,block2,pretrain,0,0,0,0,0,0,5000,19,C291.jpeg,-8,1,blank,3991
103119,13:02:08,1,24,5.0.14.0,3,1,block3,pretrainWithFeedback,0,0,0,0,Tobias,1,7264,18,C282Q.jpeg,34,1,correct!,7313
103119,13:02:08,1,24,5.0.14.0,3,2,block3,pretrainWithFeedback,0,0,0,0,Jennifer,1,3692,5,C61Q.jpeg,5,1,correct!,3727
