condsFile,northOrSouth,stimFile1a,stimFile1b,stimFile2,stimFile3,stimFile4,stimFile5,QeggPainting1,Qcharacter1,Qgift1,QeggPainting2,Qcharacter2,Qgift2,Qname1,Qtheme1,Qname2,Qtheme2,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,noQtrials.thisRepN,noQtrials.thisTrialN,noQtrials.thisN,noQtrials.thisIndex,Qtrials.thisRepN,Qtrials.thisTrialN,Qtrials.thisN,Qtrials.thisIndex,text.started,text.stopped,prep_trigger.keys,prep_trigger.rt,prep_trigger.started,prep_trigger.stopped,waiting.started,waiting.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,image_2.started,image_2.stopped,trialNoQs.started,trialNoQs.stopped,vid1a.started,vid1a.stopped,vid1b.started,vid1b.stopped,vid2.started,vid2.stopped,vid3.started,vid3.stopped,vid4.started,vid4.stopped,vid5.started,vid5.stopped,ISI2.started,ISI2.stopped,vid1a_q.started,vid1a_q.stopped,vid1b_q.started,vid1b_q.stopped,vid2_q.started,vid2_q.stopped,l2q.started,l2q.stopped,vid3_q.started,vid3_q.stopped,l3q.started,l3q.stopped,vid4_q.started,vid4_q.stopped,vid5_q.started,vid5_q.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,ISI7.started,ISI7.stopped,nameQresp.keys,nameQresp.started,nameQresp.stopped,nameQ1.started,nameQ1.stopped,nameQ2.started,nameQ2.stopped,eggPainting1.started,eggPainting1.stopped,eggPaintingQresp.keys,eggPaintingQresp.started,eggPaintingQresp.stopped,eggPainting2.started,eggPainting2.stopped,character1.started,character1.stopped,character2.started,character2.stopped,Qcharacter.keys,Qcharacter.started,Qcharacter.stopped,themeQresp.keys,themeQresp.started,themeQresp.stopped,themeQ1.started,themeQ1.stopped,themeQ2.started,themeQ2.stopped,gift1.started,gift1.stopped,gift2.started,gift2.stopped,giftQresp.keys,giftQresp.started,giftQresp.stopped,northorsouth1.started,northorsouth1.stopped,northOrSouthQ.keys,northOrSouthQ.started,northOrSouthQ.stopped,northorsouth2.started,northorsouth2.stopped,themeQresp.rt,giftQresp.rt,northOrSouthQ.rt,nameQresp.rt,eggPaintingQresp.rt,Qcharacter.rt,session,participant,date,expName,psychopyVersion,frameRate,
videoBlock_schemaS_pathB_3.csv,south.png,stims/wedding-41.1a.mp4,stims/wedding-41.1b.mp4,stims/wedding-41.2b.mp4,stims/wedding-41.3a.mp4,stims/wedding-41.4b.mp4,stims/wedding-41.5.mp4,stimsday1details/painting41.png,stimsday1details/couple41.png,stimsday1details/new21.png,stimsday1details/newpainting9.png,stimsday1details/newperson21.png,stimsday1details/gift41.png,stimsday1details/cn41.png,stimsday1details/t41.png,stimsday1details/n41.png,stimsday1details/ct41.png,0,2,2,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5614706575870514e-05,None,2,447.7689620470628,None,447.7689620470628,None,447.7689620470628,None,449.7522223973647,None,1,449.7522223973647,None,449.7522223973647,None,451.7523686857894,None,451.7523686857894,None,1,451.7523686857894,None,1,453.75216569844633,None,453.75216569844633,None,453.75216569844633,None,455.752212096937,None,455.752212096937,None,2,455.752212096937,None,457.7522079516202,None,2,457.7522079516202,None,457.7522079516202,None,1.0188438603654504,1.7522027380764484,1.4353629257529974,1.0686369026079774,0.8188929772004485,1.102057027630508,001,38,2020_Jan_13_1538,Block1,3.1.2,60.06192049384604,
videoBlock_schemaS_pathA_3.csv,south.png,stims/wedding-36.1a.mp4,stims/wedding-36.1b.mp4,stims/wedding-36.2a.mp4,stims/wedding-36.3b.mp4,stims/wedding-36.4a.mp4,stims/wedding-36.5.mp4,stimsday1details/egg36.png,stimsday1details/couple36.png,stimsday1details/gift36.png,stimsday1details/newegg9.png,stimsday1details/newperson9.png,stimsday1details/new9.png,stimsday1details/n36.png,stimsday1details/t36.png,stimsday1details/cn36.png,stimsday1details/ct36.png,0,3,3,2,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,460.0021580988541,None,2.9470157446339726,None,469.45202370453626,None,499.0184875866398,508.00154343713075,508.0181485321373,525.0013506412506,525.0179961742833,548.0012046229094,548.0176640385762,None,572.0175252817571,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,38,2020_Jan_13_1538,Block1,3.1.2,60.06192049384604,
videoBlock_schemaS_pathA_3.csv,south.png,stims/wedding-36.1a.mp4,stims/wedding-36.1b.mp4,stims/wedding-36.2a.mp4,stims/wedding-36.3b.mp4,stims/wedding-36.4a.mp4,stims/wedding-36.5.mp4,stimsday1details/egg36.png,stimsday1details/couple36.png,stimsday1details/gift36.png,stimsday1details/newegg9.png,stimsday1details/newperson9.png,stimsday1details/new9.png,stimsday1details/n36.png,stimsday1details/t36.png,stimsday1details/cn36.png,stimsday1details/ct36.png,0,3,3,2,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,38,2020_Jan_13_1538,Block1,3.1.2,60.06192049384604,
videoBlock_schemaS_pathA_3.csv,south.png,stims/wedding-36.1a.mp4,stims/wedding-36.1b.mp4,stims/wedding-36.2a.mp4,stims/wedding-36.3b.mp4,stims/wedding-36.4a.mp4,stims/wedding-36.5.mp4,stimsday1details/egg36.png,stimsday1details/couple36.png,stimsday1details/gift36.png,stimsday1details/newegg9.png,stimsday1details/newperson9.png,stimsday1details/new9.png,stimsday1details/n36.png,stimsday1details/t36.png,stimsday1details/cn36.png,stimsday1details/ct36.png,0,3,3,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.395974636077881e-05,None,1,590.0507984738797,None,590.0507984738797,None,590.0507984738797,None,592.0340226963162,None,1,592.0340226963162,None,592.0340226963162,None,594.0339771490544,None,594.0339771490544,None,1,594.0339771490544,None,1,596.0338427973911,None,596.0338427973911,None,596.0338427973911,None,598.0337504334748,None,598.0337504334748,None,1,598.0337504334748,None,600.0338902305812,None,2,600.0338902305812,None,600.0338902305812,None,1.0353435296565294,1.035532875917852,1.8183501278981566,1.0020263083279133,0.8521762462332845,0.7685553599148989,001,38,2020_Jan_13_1538,Block1,3.1.2,60.06192049384604,
videoBlock_schemaS_pathA_1.csv,south.png,stims/wedding-14.1a.mp4,stims/wedding-14.1b.mp4,stims/wedding-14.2a.mp4,stims/wedding-14.3b.mp4,stims/wedding-14.4a.mp4,stims/wedding-14.5.mp4,stimsday1details/newegg7.png,stimsday1details/newperson7.png,stimsday1details/gift14.png,stimsday1details/egg14.png,stimsday1details/couple14.png,stimsday1details/new7.png,stimsday1details/n14.png,stimsday1details/t14.png,stimsday1details/cn14.png,stimsday1details/ct14.png,0,4,4,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,602.3170282850042,None,2.8785396069288254,None,611.70040583238,641.3164682220668,641.3332032132894,None,650.3330738125369,None,667.3328871680424,690.3159274123609,690.3327335873619,714.3155583357438,714.3325361395255,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,38,2020_Jan_13_1538,Block1,3.1.2,60.06192049384604,
videoBlock_schemaS_pathA_1.csv,south.png,stims/wedding-14.1a.mp4,stims/wedding-14.1b.mp4,stims/wedding-14.2a.mp4,stims/wedding-14.3b.mp4,stims/wedding-14.4a.mp4,stims/wedding-14.5.mp4,stimsday1details/newegg7.png,stimsday1details/newperson7.png,stimsday1details/gift14.png,stimsday1details/egg14.png,stimsday1details/couple14.png,stimsday1details/new7.png,stimsday1details/n14.png,stimsday1details/t14.png,stimsday1details/cn14.png,stimsday1details/ct14.png,0,4,4,0,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,38,2020_Jan_13_1538,Block1,3.1.2,60.06192049384604,
videoBlock_schemaS_pathA_1.csv,south.png,stims/wedding-14.1a.mp4,stims/wedding-14.1b.mp4,stims/wedding-14.2a.mp4,stims/wedding-14.3b.mp4,stims/wedding-14.4a.mp4,stims/wedding-14.5.mp4,stimsday1details/newegg7.png,stimsday1details/newperson7.png,stimsday1details/gift14.png,stimsday1details/egg14.png,stimsday1details/couple14.png,stimsday1details/new7.png,stimsday1details/n14.png,stimsday1details/t14.png,stimsday1details/cn14.png,stimsday1details/ct14.png,0,4,4,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.329625517129898e-05,None,1,732.0489451279864,None,732.0489451279864,None,732.0489451279864,None,734.0320401536301,None,2,734.0320401536301,None,734.0320401536301,None,736.0322182634845,None,736.0322182634845,None,2,736.0322182634845,None,1,738.0319873886183,None,738.0319873886183,None,738.0319873886183,None,740.0321412337944,None,740.0321412337944,None,1,740.0321412337944,None,742.0319587215781,None,2,742.0319587215781,None,742.0319587215781,None,0.8190208617597818,0.7855584258213639,0.7855606209486723,0.9188245264813304,0.868471865542233,0.93560940772295,001,38,2020_Jan_13_1538,Block1,3.1.2,60.06192049384604,
videoBlock_schemaS_pathB_2.csv,south.png,stims/wedding-32.1a.mp4,stims/wedding-32.1b.mp4,stims/wedding-32.2b.mp4,stims/wedding-32.3a.mp4,stims/wedding-32.4b.mp4,stims/wedding-32.5.mp4,stimsday1details/newpainting8.png,stimsday1details/newperson20.png,stimsday1details/new20.png,stimsday1details/painting32.png,stimsday1details/couple32.png,stimsday1details/gift32.png,stimsday1details/n32.png,stimsday1details/t32.png,stimsday1details/cn32.png,stimsday1details/ct32.png,0,5,5,4,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,744.3320433590561,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,38,2020_Jan_13_1538,Block1,3.1.2,60.06192049384604,
videoBlock_schemaS_pathB_2.csv,south.png,stims/wedding-32.1a.mp4,stims/wedding-32.1b.mp4,stims/wedding-32.2b.mp4,stims/wedding-32.3a.mp4,stims/wedding-32.4b.mp4,stims/wedding-32.5.mp4,stimsday1details/newpainting8.png,stimsday1details/newperson20.png,stimsday1details/new20.png,stimsday1details/painting32.png,stimsday1details/couple32.png,stimsday1details/gift32.png,stimsday1details/n32.png,stimsday1details/t32.png,stimsday1details/cn32.png,stimsday1details/ct32.png,0,5,5,4,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7882823143154383,None,756.5819915235043,786.2982281828299,786.3149466859177,None,795.3147549536079,None,812.3145384937525,816.2977308845147,816.314491267316,839.2975097084418,839.3142649186775,843.2975238785148,843.3142097042874,867.2969880243763,867.3139130929485,None,['2'],[3.118469844572246],811.3143550399691,816.2977308845147,['2'],[2.7686356538906693],838.3142787916586,843.2975238785148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,38,2020_Jan_13_1538,Block1,3.1.2,60.06192049384604,
videoBlock_schemaS_pathB_2.csv,south.png,stims/wedding-32.1a.mp4,stims/wedding-32.1b.mp4,stims/wedding-32.2b.mp4,stims/wedding-32.3a.mp4,stims/wedding-32.4b.mp4,stims/wedding-32.5.mp4,stimsday1details/newpainting8.png,stimsday1details/newperson20.png,stimsday1details/new20.png,stimsday1details/painting32.png,stimsday1details/couple32.png,stimsday1details/gift32.png,stimsday1details/n32.png,stimsday1details/t32.png,stimsday1details/cn32.png,stimsday1details/ct32.png,0,5,5,4,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5441870093345642e-05,None,1,880.2634955113754,None,880.2634955113754,None,880.2634955113754,None,882.2468499178067,None,2,882.2468499178067,None,882.2468499178067,None,884.2470003552735,None,884.2470003552735,None,2,884.2470003552735,None,1,886.2469900427386,None,886.2469900427386,None,886.2469900427386,None,888.2469494687393,None,888.2469494687393,None,2,888.2469494687393,None,890.2466826625168,None,2,890.2466826625168,None,890.2466826625168,None,1.352246556431055,0.8355742590501904,0.8354440070688725,0.902133921161294,0.7024651141837239,0.9349652221426368,001,38,2020_Jan_13_1538,Block1,3.1.2,60.06192049384604,
