northOrSouth,stimFile1a,stimFile1b,stimFile2,stimFile3,stimFile4,stimFile5,Qeggpainting1,Qeggpainting2,Qcharacter1,Qcharacter2,Qgift1,Qgift2,Qname1,Qname2,Qtheme1,Qtheme2,n,ISI7.started_mean,ISI7.started_raw,ISI7.started_std,ISI7.stopped_raw,Qcharacter.keys_raw,Qcharacter.rt_mean,Qcharacter.rt_raw,Qcharacter.rt_std,Qcharacter.started_mean,Qcharacter.started_raw,Qcharacter.started_std,Qcharacter.stopped_raw,character1.started_mean,character1.started_raw,character1.started_std,character1.stopped_raw,character2.started_mean,character2.started_raw,character2.started_std,character2.stopped_raw,eggPainting1.started_mean,eggPainting1.started_raw,eggPainting1.started_std,eggPainting1.stopped_raw,eggPainting2.started_mean,eggPainting2.started_raw,eggPainting2.started_std,eggPainting2.stopped_raw,eggPaintingQresp.keys_raw,eggPaintingQresp.rt_mean,eggPaintingQresp.rt_raw,eggPaintingQresp.rt_std,eggPaintingQresp.started_mean,eggPaintingQresp.started_raw,eggPaintingQresp.started_std,eggPaintingQresp.stopped_raw,gift1.started_mean,gift1.started_raw,gift1.started_std,gift1.stopped_raw,gift2.started_mean,gift2.started_raw,gift2.started_std,gift2.stopped_raw,giftQresp.keys_raw,giftQresp.rt_mean,giftQresp.rt_raw,giftQresp.rt_std,giftQresp.started_mean,giftQresp.started_raw,giftQresp.started_std,giftQresp.stopped_raw,nameQ1.started_mean,nameQ1.started_raw,nameQ1.started_std,nameQ1.stopped_raw,nameQ2.started_mean,nameQ2.started_raw,nameQ2.started_std,nameQ2.stopped_raw,nameQresp.keys_raw,nameQresp.rt_mean,nameQresp.rt_raw,nameQresp.rt_std,nameQresp.started_mean,nameQresp.started_raw,nameQresp.started_std,nameQresp.stopped_raw,northOrSouthQ.keys_raw,northOrSouthQ.rt_mean,northOrSouthQ.rt_raw,northOrSouthQ.rt_std,northOrSouthQ.started_mean,northOrSouthQ.started_raw,northOrSouthQ.started_std,northOrSouthQ.stopped_raw,northorsouth1.started_mean,northorsouth1.started_raw,northorsouth1.started_std,northorsouth1.stopped_raw,northorsouth2.started_mean,northorsouth2.started_raw,northorsouth2.started_std,northorsouth2.stopped_raw,themeQ1.started_mean,themeQ1.started_raw,themeQ1.started_std,themeQ1.stopped_raw,themeQ2.started_mean,themeQ2.started_raw,themeQ2.started_std,themeQ2.stopped_raw,themeQresp.keys_raw,themeQresp.rt_mean,themeQresp.rt_raw,themeQresp.rt_std,themeQresp.started_mean,themeQresp.started_raw,themeQresp.started_std,themeQresp.stopped_raw,order
south.png,stims/wedding-23.1a.mp4,stims/wedding-23.1b.mp4,stims/wedding-23.2a.mp4,stims/wedding-23.3b.mp4,stims/wedding-23.4a.mp4,stims/wedding-23.5.mp4,stimsday2details/newegg13.png,stimsday2details/egg23.png,stimsday2details/newperson25.png,stimsday2details/couple23.png,stimsday2details/new25.png,stimsday2details/gift23.png,stimsday2details/cn23.png,stimsday2details/n23.png,stimsday2details/ct23.png,stimsday2details/t23.png,1.0,2.297898754477501e-05,2.297898754477501e-05,0.0,,'2',0.6683259606361389,0.6683259606361389,0.0,250.6339111328125,250.6339111328125,0.0,,250.6339111328125,250.6339111328125,0.0,,250.6339111328125,250.6339111328125,0.0,,248.63394165039062,248.63394165039062,0.0,,248.63394165039062,248.63394165039062,0.0,,'2',0.9852457046508789,0.9852457046508789,0.0,248.63394165039062,248.63394165039062,0.0,,254.6338653564453,254.6338653564453,0.0,,254.6338653564453,254.6338653564453,0.0,,'2',0.8851673603057861,0.8851673603057861,0.0,254.6338653564453,254.6338653564453,0.0,,246.63397216796875,246.63397216796875,0.0,,246.63397216796875,246.63397216796875,0.0,,'2',0.8018636107444763,0.8018636107444763,0.0,246.63397216796875,246.63397216796875,0.0,,'2',0.9022598266601562,0.9022598266601562,0.0,256.63385009765625,256.63385009765625,0.0,,256.63385009765625,256.63385009765625,0.0,,256.63385009765625,256.63385009765625,0.0,,252.6339111328125,252.6339111328125,0.0,,252.6339111328125,252.6339111328125,0.0,,'2',1.2020797729492188,1.2020797729492188,0.0,252.6339111328125,252.6339111328125,0.0,,0.0
north.png,stims/wedding-1.1a.mp4,stims/wedding-1.1b.mp4,stims/wedding-1.2b.mp4,stims/wedding-1.3b.mp4,stims/wedding-1.4b.mp4,stims/wedding-1.5.mp4,stimsday2details/painting1.png,stimsday2details/newpainting13.png,stimsday2details/newperson26.png,stimsday2details/couple1.png,stimsday2details/gift1.png,stimsday2details/new26.png,stimsday2details/n1.png,stimsday2details/cn1.png,stimsday2details/t1.png,stimsday2details/ct1.png,1.0,3.162398934364319e-05,3.162398934364319e-05,0.0,,'2',0.9020602107048035,0.9020602107048035,0.0,394.1821594238281,394.1821594238281,0.0,,394.1821594238281,394.1821594238281,0.0,,394.1821594238281,394.1821594238281,0.0,,392.18218994140625,392.18218994140625,0.0,,392.18218994140625,392.18218994140625,0.0,,'1',0.86896151304245,0.86896151304245,0.0,392.18218994140625,392.18218994140625,0.0,,398.18212890625,398.18212890625,0.0,,398.18212890625,398.18212890625,0.0,,'1',0.7019450068473816,0.7019450068473816,0.0,398.18212890625,398.18212890625,0.0,,390.1988830566406,390.1988830566406,0.0,,390.1988830566406,390.1988830566406,0.0,,'1',0.6020891070365906,0.6020891070365906,0.0,390.1988830566406,390.1988830566406,0.0,,'1',0.8859639167785645,0.8859639167785645,0.0,400.1820373535156,400.1820373535156,0.0,,400.1820373535156,400.1820373535156,0.0,,400.1820373535156,400.1820373535156,0.0,,396.1820983886719,396.1820983886719,0.0,,396.1820983886719,396.1820983886719,0.0,,'1',1.0022552013397217,1.0022552013397217,0.0,396.1820983886719,396.1820983886719,0.0,,1.0
north.png,stims/wedding-22.1a.mp4,stims/wedding-22.1b.mp4,stims/wedding-22.2a.mp4,stims/wedding-22.3a.mp4,stims/wedding-22.4a.mp4,stims/wedding-22.5.mp4,stimsday2details/egg22.png,stimsday2details/newegg14.png,stimsday2details/couple22.png,stimsday2details/newperson27.png,stimsday2details/gift22.png,stimsday2details/new27.png,stimsday2details/cn22.png,stimsday2details/n22.png,stimsday2details/ct22.png,stimsday2details/t22.png,1.0,3.7943944334983826e-05,3.7943944334983826e-05,0.0,,'1',0.8519752025604248,0.8519752025604248,0.0,537.9470825195312,537.9470825195312,0.0,,537.9470825195312,537.9470825195312,0.0,,537.9470825195312,537.9470825195312,0.0,,535.9470825195312,535.9470825195312,0.0,,535.9470825195312,535.9470825195312,0.0,,'1',0.9687938690185547,0.9687938690185547,0.0,535.9470825195312,535.9470825195312,0.0,,541.947021484375,541.947021484375,0.0,,541.947021484375,541.947021484375,0.0,,'1',0.9018968939781189,0.9018968939781189,0.0,541.947021484375,541.947021484375,0.0,,533.9638061523438,533.9638061523438,0.0,,533.9638061523438,533.9638061523438,0.0,,'2',1.135111927986145,1.135111927986145,0.0,533.9638061523438,533.9638061523438,0.0,,'1',0.9187626838684082,0.9187626838684082,0.0,543.9469604492188,543.9469604492188,0.0,,543.9469604492188,543.9469604492188,0.0,,543.9469604492188,543.9469604492188,0.0,,539.947021484375,539.947021484375,0.0,,539.947021484375,539.947021484375,0.0,,'2',1.8519234657287598,1.8519234657287598,0.0,539.947021484375,539.947021484375,0.0,,2.0
south.png,stims/wedding-19.1a.mp4,stims/wedding-19.1b.mp4,stims/wedding-19.2a.mp4,stims/wedding-19.3b.mp4,stims/wedding-19.4a.mp4,stims/wedding-19.5.mp4,stimsday2details/egg19.png,stimsday2details/newegg15.png,stimsday2details/newperson28.png,stimsday2details/couple19.png,stimsday2details/gift19.png,stimsday2details/new28.png,stimsday2details/cn19.png,stimsday2details/n19.png,stimsday2details/t19.png,stimsday2details/ct19.png,1.0,3.947096411138773e-05,3.947096411138773e-05,0.0,,'2',1.0849789381027222,1.0849789381027222,0.0,682.32861328125,682.32861328125,0.0,,682.32861328125,682.32861328125,0.0,,682.32861328125,682.32861328125,0.0,,680.3286743164062,680.3286743164062,0.0,,680.3286743164062,680.3286743164062,0.0,,'1',1.135130524635315,1.135130524635315,0.0,680.3286743164062,680.3286743164062,0.0,,686.32861328125,686.32861328125,0.0,,686.32861328125,686.32861328125,0.0,,'1',1.0353111028671265,1.0353111028671265,0.0,686.32861328125,686.32861328125,0.0,,678.3453369140625,678.3453369140625,0.0,,678.3453369140625,678.3453369140625,0.0,,'2',1.018574595451355,1.018574595451355,0.0,678.3453369140625,678.3453369140625,0.0,,'2',1.385378122329712,1.385378122329712,0.0,688.3285522460938,688.3285522460938,0.0,,688.3285522460938,688.3285522460938,0.0,,688.3285522460938,688.3285522460938,0.0,,684.32861328125,684.32861328125,0.0,,684.32861328125,684.32861328125,0.0,,'1',1.2185206413269043,1.2185206413269043,0.0,684.32861328125,684.32861328125,0.0,,3.0
south.png,stims/wedding-20.1a.mp4,stims/wedding-20.1b.mp4,stims/wedding-20.2b.mp4,stims/wedding-20.3a.mp4,stims/wedding-20.4b.mp4,stims/wedding-20.5.mp4,stimsday2details/painting20.png,stimsday2details/newpainting14.png,stimsday2details/newperson29.png,stimsday2details/couple20.png,stimsday2details/gift20.png,stimsday2details/new29.png,stimsday2details/n20.png,stimsday2details/cn20.png,stimsday2details/ct20.png,stimsday2details/t20.png,1.0,3.578490577638149e-05,3.578490577638149e-05,0.0,,'2',0.8517463207244873,0.8517463207244873,0.0,825.1602172851562,825.1602172851562,0.0,,825.1602172851562,825.1602172851562,0.0,,825.1602172851562,825.1602172851562,0.0,,823.1602172851562,823.1602172851562,0.0,,823.1602172851562,823.1602172851562,0.0,,'1',1.3683066368103027,1.3683066368103027,0.0,823.1602172851562,823.1602172851562,0.0,,829.16015625,829.16015625,0.0,,829.16015625,829.16015625,0.0,,'1',0.8017452359199524,0.8017452359199524,0.0,829.16015625,829.16015625,0.0,,821.1769409179688,821.1769409179688,0.0,,821.1769409179688,821.1769409179688,0.0,,'1',0.6854579448699951,0.6854579448699951,0.0,821.1769409179688,821.1769409179688,0.0,,'2',1.0517699718475342,1.0517699718475342,0.0,831.16015625,831.16015625,0.0,,831.16015625,831.16015625,0.0,,831.16015625,831.16015625,0.0,,827.1600952148438,827.1600952148438,0.0,,827.1600952148438,827.1600952148438,0.0,,'2',1.2003545761108398,1.2003545761108398,0.0,827.1600952148438,827.1600952148438,0.0,,4.0
north.png,stims/wedding-2.1a.mp4,stims/wedding-2.1b.mp4,stims/wedding-2.2a.mp4,stims/wedding-2.3a.mp4,stims/wedding-2.4a.mp4,stims/wedding-2.5.mp4,stimsday2details/egg2.png,stimsday2details/newegg16.png,stimsday2details/newperson30.png,stimsday2details/couple2.png,stimsday2details/new30.png,stimsday2details/gift2.png,stimsday2details/cn2.png,stimsday2details/n2.png,stimsday2details/ct2.png,stimsday2details/t2.png,1.0,4.440103657543659e-05,4.440103657543659e-05,0.0,,'2',1.068410873413086,1.068410873413086,0.0,969.1751098632812,969.1751098632812,0.0,,969.1751098632812,969.1751098632812,0.0,,969.1751098632812,969.1751098632812,0.0,,967.1751098632812,967.1751098632812,0.0,,967.1751098632812,967.1751098632812,0.0,,'1',0.8853803277015686,0.8853803277015686,0.0,967.1751098632812,967.1751098632812,0.0,,973.175048828125,973.175048828125,0.0,,973.175048828125,973.175048828125,0.0,,'2',1.368574857711792,1.368574857711792,0.0,973.175048828125,973.175048828125,0.0,,965.1751708984375,965.1751708984375,0.0,,965.1751708984375,965.1751708984375,0.0,,'2',0.9688683748245239,0.9688683748245239,0.0,965.1751708984375,965.1751708984375,0.0,,'1',1.468657374382019,1.468657374382019,0.0,975.175048828125,975.175048828125,0.0,,975.175048828125,975.175048828125,0.0,,975.175048828125,975.175048828125,0.0,,971.1751098632812,971.1751098632812,0.0,,971.1751098632812,971.1751098632812,0.0,,'2',1.71831476688385,1.71831476688385,0.0,971.1751098632812,971.1751098632812,0.0,,5.0
north.png,stims/wedding-28.1a.mp4,stims/wedding-28.1b.mp4,stims/wedding-28.2b.mp4,stims/wedding-28.3b.mp4,stims/wedding-28.4b.mp4,stims/wedding-28.5.mp4,stimsday2details/newpainting15.png,stimsday2details/painting28.png,stimsday2details/couple28.png,stimsday2details/newperson31.png,stimsday2details/new31.png,stimsday2details/gift28.png,stimsday2details/cn28.png,stimsday2details/n28.png,stimsday2details/ct28.png,stimsday2details/t28.png,1.0,4.0400074794888496e-05,4.0400074794888496e-05,0.0,,'1',0.7684938907623291,0.7684938907623291,0.0,1113.8565673828125,1113.8565673828125,0.0,,1113.8565673828125,1113.8565673828125,0.0,,1113.8565673828125,1113.8565673828125,0.0,,1111.8568115234375,1111.8568115234375,0.0,,1111.8568115234375,1111.8568115234375,0.0,,'2',0.9682144522666931,0.9682144522666931,0.0,1111.8568115234375,1111.8568115234375,0.0,,1117.8565673828125,1117.8565673828125,0.0,,1117.8565673828125,1117.8565673828125,0.0,,'2',1.2670061588287354,1.2670061588287354,0.0,1117.8565673828125,1117.8565673828125,0.0,,1109.8568115234375,1109.8568115234375,0.0,,1109.8568115234375,1109.8568115234375,0.0,,'2',0.8850305676460266,0.8850305676460266,0.0,1109.8568115234375,1109.8568115234375,0.0,,'1',1.4019758701324463,1.4019758701324463,0.0,1119.8565673828125,1119.8565673828125,0.0,,1119.8565673828125,1119.8565673828125,0.0,,1119.8565673828125,1119.8565673828125,0.0,,1115.856689453125,1115.856689453125,0.0,,1115.856689453125,1115.856689453125,0.0,,'2',1.3689478635787964,1.3689478635787964,0.0,1115.856689453125,1115.856689453125,0.0,,6.0
south.png,stims/wedding-38.1a.mp4,stims/wedding-38.1b.mp4,stims/wedding-38.2b.mp4,stims/wedding-38.3a.mp4,stims/wedding-38.4b.mp4,stims/wedding-38.5.mp4,stimsday2details/newpainting16.png,stimsday2details/painting38.png,stimsday2details/newperson32.png,stimsday2details/couple38.png,stimsday2details/gift38.png,stimsday2details/new32.png,stimsday2details/n38.png,stimsday2details/cn38.png,stimsday2details/t38.png,stimsday2details/ct38.png,1.0,4.241999704390764e-05,4.241999704390764e-05,0.0,,'2',0.8856305480003357,0.8856305480003357,0.0,1258.1048583984375,1258.1048583984375,0.0,,1258.1048583984375,1258.1048583984375,0.0,,1258.1048583984375,1258.1048583984375,0.0,,1256.1048583984375,1256.1048583984375,0.0,,1256.1048583984375,1256.1048583984375,0.0,,'2',0.9185638427734375,0.9185638427734375,0.0,1256.1048583984375,1256.1048583984375,0.0,,1262.1048583984375,1262.1048583984375,0.0,,1262.1048583984375,1262.1048583984375,0.0,,'1',1.835440993309021,1.835440993309021,0.0,1262.1048583984375,1262.1048583984375,0.0,,1254.12646484375,1254.12646484375,0.0,,1254.12646484375,1254.12646484375,0.0,,'1',0.7638849020004272,0.7638849020004272,0.0,1254.12646484375,1254.12646484375,0.0,,'2',1.0854028463363647,1.0854028463363647,0.0,1264.1048583984375,1264.1048583984375,0.0,,1264.1048583984375,1264.1048583984375,0.0,,1264.1048583984375,1264.1048583984375,0.0,,1260.1048583984375,1260.1048583984375,0.0,,1260.1048583984375,1260.1048583984375,0.0,,'1',0.8184634447097778,0.8184634447097778,0.0,1260.1048583984375,1260.1048583984375,0.0,,7.0
south.png,stims/wedding-29.1a.mp4,stims/wedding-29.1b.mp4,stims/wedding-29.2b.mp4,stims/wedding-29.3a.mp4,stims/wedding-29.4b.mp4,stims/wedding-29.5.mp4,stimsday2details/painting29.png,stimsday2details/newpainting17.png,stimsday2details/couple29.png,stimsday2details/newperson33.png,stimsday2details/gift29.png,stimsday2details/new33.png,stimsday2details/n29.png,stimsday2details/cn29.png,stimsday2details/ct29.png,stimsday2details/t29.png,1.0,4.379497841000557e-05,4.379497841000557e-05,0.0,,'1',1.335206389427185,1.335206389427185,0.0,1401.9864501953125,1401.9864501953125,0.0,,1401.9864501953125,1401.9864501953125,0.0,,1401.9864501953125,1401.9864501953125,0.0,,1399.986328125,1399.986328125,0.0,,1399.986328125,1399.986328125,0.0,,'1',0.9685624837875366,0.9685624837875366,0.0,1399.986328125,1399.986328125,0.0,,1405.986328125,1405.986328125,0.0,,1405.986328125,1405.986328125,0.0,,'1',1.2685027122497559,1.2685027122497559,0.0,1405.986328125,1405.986328125,0.0,,1398.005126953125,1398.005126953125,0.0,,1398.005126953125,1398.005126953125,0.0,,'1',0.7999301552772522,0.7999301552772522,0.0,1398.005126953125,1398.005126953125,0.0,,'2',1.0856213569641113,1.0856213569641113,0.0,1407.986328125,1407.986328125,0.0,,1407.986328125,1407.986328125,0.0,,1407.986328125,1407.986328125,0.0,,1403.9864501953125,1403.9864501953125,0.0,,1403.9864501953125,1403.9864501953125,0.0,,'2',1.4850423336029053,1.4850423336029053,0.0,1403.9864501953125,1403.9864501953125,0.0,,8.0
north.png,stims/wedding-17.1a.mp4,stims/wedding-17.1b.mp4,stims/wedding-17.2b.mp4,stims/wedding-17.3b.mp4,stims/wedding-17.4b.mp4,stims/wedding-17.5.mp4,stimsday2details/newpainting18.png,stimsday2details/painting17.png,stimsday2details/newperson34.png,stimsday2details/couple17.png,stimsday2details/gift17.png,stimsday2details/new34.png,stimsday2details/n17.png,stimsday2details/cn17.png,stimsday2details/ct17.png,stimsday2details/t17.png,1.0,3.502401523292065e-05,3.502401523292065e-05,0.0,,'2',0.8856223821640015,0.8856223821640015,0.0,1546.7679443359375,1546.7679443359375,0.0,,1546.7679443359375,1546.7679443359375,0.0,,1546.7679443359375,1546.7679443359375,0.0,,1544.7679443359375,1544.7679443359375,0.0,,1544.7679443359375,1544.7679443359375,0.0,,'2',1.03556227684021,1.03556227684021,0.0,1544.7679443359375,1544.7679443359375,0.0,,1550.7679443359375,1550.7679443359375,0.0,,1550.7679443359375,1550.7679443359375,0.0,,'1',1.2350424528121948,1.2350424528121948,0.0,1550.7679443359375,1550.7679443359375,0.0,,1542.787353515625,1542.787353515625,0.0,,1542.787353515625,1542.787353515625,0.0,,'1',0.7492578029632568,0.7492578029632568,0.0,1542.787353515625,1542.787353515625,0.0,,'1',1.035064935684204,1.035064935684204,0.0,1552.7679443359375,1552.7679443359375,0.0,,1552.7679443359375,1552.7679443359375,0.0,,1552.7679443359375,1552.7679443359375,0.0,,1548.7679443359375,1548.7679443359375,0.0,,1548.7679443359375,1548.7679443359375,0.0,,'2',1.2003637552261353,1.2003637552261353,0.0,1548.7679443359375,1548.7679443359375,0.0,,9.0
