,onsets,offsets,weddNr
0,354.0,99998.0,1.0
1,168.0,211.0,2.0
2,122.0,167.0,6.0
3,105.0,121.0,17.0
4,308.0,336.0,19.0
5,3.0,34.0,20.0
6,337.0,353.0,22.0
7,212.0,256.0,23.0
8,35.0,77.0,28.0
9,278.0,307.0,29.0
10,78.0,104.0,34.0
11,257.0,277.0,38.0
