,onsets,offsets,weddNr
0,98.0,124.0,1.0
1,125.0,159.0,2.0
2,243.0,255.0,6.0
3,202.0,242.0,17.0
4,256.0,276.0,19.0
5,76.0,97.0,20.0
6,3.0,33.0,22.0
7,61.0,75.0,23.0
8,34.0,60.0,28.0
9,160.0,201.0,29.0
10,277.0,295.0,34.0
11,296.0,99998.0,38.0
