123.8038 	DATA 	Keypress: equal
125.3038 	DATA 	Keypress: equal
126.8039 	DATA 	Keypress: equal
128.3038 	DATA 	Keypress: equal
129.8036 	DATA 	Keypress: equal
131.3037 	DATA 	Keypress: equal
132.8035 	DATA 	Keypress: equal
134.3037 	DATA 	Keypress: equal
135.8035 	DATA 	Keypress: equal
136.1865 	DATA 	Keypress: space
136.3232 	EXP 	New trial (rep=0, index=3): OrderedDict([('cue', 'stimsday2details/C1.png')])
136.3519 	EXP 	cueImage: autoDraw = False
136.3519 	EXP 	text: autoDraw = False
136.3519 	EXP 	cueImage: image = 'stimsday2details/C1.png'
136.3519 	EXP 	cueImage: autoDraw = True
136.3519 	EXP 	text: autoDraw = True
137.3038 	DATA 	Keypress: equal
138.8036 	DATA 	Keypress: equal
140.3039 	DATA 	Keypress: equal
141.8035 	DATA 	Keypress: equal
143.3037 	DATA 	Keypress: equal
144.8036 	DATA 	Keypress: equal
146.3033 	DATA 	Keypress: equal
147.8034 	DATA 	Keypress: equal
149.3036 	DATA 	Keypress: equal
150.8035 	DATA 	Keypress: equal
152.3032 	DATA 	Keypress: equal
153.8032 	DATA 	Keypress: equal
155.3032 	DATA 	Keypress: equal
156.8034 	DATA 	Keypress: equal
158.3034 	DATA 	Keypress: equal
159.8034 	DATA 	Keypress: equal
161.3031 	DATA 	Keypress: equal
162.8031 	DATA 	Keypress: equal
164.3031 	DATA 	Keypress: equal
165.8030 	DATA 	Keypress: equal
167.3030 	DATA 	Keypress: equal
168.8033 	DATA 	Keypress: equal
170.3033 	DATA 	Keypress: equal
171.8029 	DATA 	Keypress: equal
173.3031 	DATA 	Keypress: equal
174.8028 	DATA 	Keypress: equal
176.3029 	DATA 	Keypress: equal
177.8030 	DATA 	Keypress: equal
179.3030 	DATA 	Keypress: equal
180.7882 	DATA 	Keypress: equal
182.2883 	DATA 	Keypress: equal
183.8029 	DATA 	Keypress: equal
185.3028 	DATA 	Keypress: equal
186.7879 	DATA 	Keypress: equal
188.3030 	DATA 	Keypress: equal
189.5694 	DATA 	Keypress: space
189.7027 	EXP 	New trial (rep=0, index=4): OrderedDict([('cue', 'stimsday2details/C19.png')])
189.7178 	EXP 	cueImage: autoDraw = False
189.7178 	EXP 	text: autoDraw = False
189.7178 	EXP 	cueImage: image = 'stimsday2details/C19.png'
189.7178 	EXP 	cueImage: autoDraw = True
189.7178 	EXP 	text: autoDraw = True
189.8029 	DATA 	Keypress: equal
191.3032 	DATA 	Keypress: equal
192.8028 	DATA 	Keypress: equal
194.3026 	DATA 	Keypress: equal
195.8026 	DATA 	Keypress: equal
197.3027 	DATA 	Keypress: equal
198.8026 	DATA 	Keypress: equal
200.3027 	DATA 	Keypress: equal
201.8027 	DATA 	Keypress: equal
203.3030 	DATA 	Keypress: equal
204.7878 	DATA 	Keypress: equal
206.2873 	DATA 	Keypress: equal
207.7875 	DATA 	Keypress: equal
209.2873 	DATA 	Keypress: equal
210.7875 	DATA 	Keypress: equal
212.2876 	DATA 	Keypress: equal
213.7875 	DATA 	Keypress: equal
215.2875 	DATA 	Keypress: equal
216.7878 	DATA 	Keypress: equal
218.2874 	DATA 	Keypress: equal
219.7874 	DATA 	Keypress: equal
221.2876 	DATA 	Keypress: equal
222.7874 	DATA 	Keypress: equal
224.2872 	DATA 	Keypress: equal
225.7873 	DATA 	Keypress: equal
227.2871 	DATA 	Keypress: equal
228.7875 	DATA 	Keypress: equal
230.2860 	DATA 	Keypress: equal
231.7860 	DATA 	Keypress: equal
233.2873 	DATA 	Keypress: equal
234.7859 	DATA 	Keypress: equal
236.2860 	DATA 	Keypress: equal
237.7861 	DATA 	Keypress: equal
239.2861 	DATA 	Keypress: equal
240.7862 	DATA 	Keypress: equal
242.2873 	DATA 	Keypress: equal
242.6352 	DATA 	Keypress: space
242.7837 	EXP 	New trial (rep=0, index=5): OrderedDict([('cue', 'stimsday2details/C17.png')])
242.8005 	EXP 	cueImage: autoDraw = False
242.8005 	EXP 	text: autoDraw = False
242.8005 	EXP 	cueImage: image = 'stimsday2details/C17.png'
242.8005 	EXP 	cueImage: autoDraw = True
242.8005 	EXP 	text: autoDraw = True
