,onsets,offsets,weddNr
0,112.0,144.0,1.0
1,267.0,279.0,2.0
2,280.0,309.0,6.0
3,50.0,74.0,17.0
4,145.0,177.0,19.0
5,310.0,99998.0,20.0
6,75.0,111.0,22.0
7,33.0,49.0,23.0
8,204.0,238.0,28.0
9,239.0,266.0,29.0
10,3.0,32.0,34.0
11,178.0,203.0,38.0
