117.3934 	EXP 	text: autoDraw = True
117.7119 	DATA 	Keypress: equal
119.2126 	DATA 	Keypress: equal
120.7120 	DATA 	Keypress: equal
122.2026 	DATA 	Keypress: equal
123.7161 	DATA 	Keypress: equal
125.2117 	DATA 	Keypress: equal
126.7128 	DATA 	Keypress: equal
128.2167 	DATA 	Keypress: equal
129.7157 	DATA 	Keypress: equal
131.2018 	DATA 	Keypress: equal
132.7113 	DATA 	Keypress: equal
134.2115 	DATA 	Keypress: equal
135.7167 	DATA 	Keypress: equal
137.2170 	DATA 	Keypress: equal
138.7162 	DATA 	Keypress: equal
140.2154 	DATA 	Keypress: equal
140.4670 	DATA 	Keypress: space
140.6009 	EXP 	New trial (rep=0, index=3): OrderedDict([('cue', 'stimsday2details/C20.png')])
140.6264 	EXP 	cueImage: autoDraw = False
140.6264 	EXP 	text: autoDraw = False
140.6264 	EXP 	cueImage: image = 'stimsday2details/C20.png'
140.6264 	EXP 	cueImage: autoDraw = True
140.6264 	EXP 	text: autoDraw = True
141.7165 	DATA 	Keypress: equal
143.2158 	DATA 	Keypress: equal
144.7161 	DATA 	Keypress: equal
146.2013 	DATA 	Keypress: equal
147.7010 	DATA 	Keypress: equal
149.2015 	DATA 	Keypress: equal
150.7162 	DATA 	Keypress: equal
152.2154 	DATA 	Keypress: equal
153.7009 	DATA 	Keypress: equal
155.2006 	DATA 	Keypress: equal
156.7006 	DATA 	Keypress: equal
158.2015 	DATA 	Keypress: equal
159.7122 	DATA 	Keypress: equal
161.2006 	DATA 	Keypress: equal
162.7002 	DATA 	Keypress: equal
164.2119 	DATA 	Keypress: equal
165.7110 	DATA 	Keypress: equal
167.2026 	DATA 	Keypress: equal
168.7006 	DATA 	Keypress: equal
170.2163 	DATA 	Keypress: equal
171.7120 	DATA 	Keypress: equal
173.2110 	DATA 	Keypress: equal
173.4818 	DATA 	Keypress: space
173.6179 	EXP 	New trial (rep=0, index=4): OrderedDict([('cue', 'stimsday2details/C1.png')])
173.6435 	EXP 	cueImage: autoDraw = False
173.6435 	EXP 	text: autoDraw = False
173.6435 	EXP 	cueImage: image = 'stimsday2details/C1.png'
173.6435 	EXP 	cueImage: autoDraw = True
173.6435 	EXP 	text: autoDraw = True
174.7000 	DATA 	Keypress: equal
176.2158 	DATA 	Keypress: equal
177.6999 	DATA 	Keypress: equal
179.1996 	DATA 	Keypress: equal
180.7008 	DATA 	Keypress: equal
182.1997 	DATA 	Keypress: equal
183.7037 	DATA 	Keypress: equal
185.2006 	DATA 	Keypress: equal
186.6990 	DATA 	Keypress: equal
188.2109 	DATA 	Keypress: equal
189.7117 	DATA 	Keypress: equal
191.1989 	DATA 	Keypress: equal
