leftimage,rightimage,n,ITIfixation.started_mean,ITIfixation.started_raw,ITIfixation.started_std,ITIfixation.stopped_raw,Q.started_mean,Q.started_raw,Q.started_std,Q.stopped_raw,answer.keys_raw,answer.rt_mean,answer.rt_raw,answer.rt_std,answer.started_mean,answer.started_raw,answer.started_std,answer.stopped_raw,leftimageLoc.started_mean,leftimageLoc.started_raw,leftimageLoc.started_std,leftimageLoc.stopped_raw,rightimageLoc.started_mean,rightimageLoc.started_raw,rightimageLoc.started_std,rightimageLoc.stopped_raw,order
stimsday2details/wedding19.png,stimsday2details/wedding1.png,1.0,169.71591186523438,169.71591186523438,0.0,,166.466552734375,166.466552734375,0.0,,'k',3.232804298400879,3.232804298400879,0.0,166.466552734375,166.466552734375,0.0,,166.466552734375,166.466552734375,0.0,,166.466552734375,166.466552734375,0.0,,14.0
stimsday2details/wedding1.png,stimsday2details/wedding29.png,1.0,56.70167541503906,56.70167541503906,0.0,,50.440162658691406,50.440162658691406,0.0,,'l',6.242092132568359,6.242092132568359,0.0,50.440162658691406,50.440162658691406,0.0,,50.440162658691406,50.440162658691406,0.0,,50.440162658691406,50.440162658691406,0.0,,1.0
stimsday2details/wedding29.png,stimsday2details/wedding2.png,1.0,152.59999084472656,152.59999084472656,0.0,,144.66690063476562,144.66690063476562,0.0,,'l',7.915584564208984,7.915584564208984,0.0,144.66690063476562,144.66690063476562,0.0,,144.66690063476562,144.66690063476562,0.0,,144.66690063476562,144.66690063476562,0.0,,11.0
stimsday2details/wedding2.png,stimsday2details/wedding28.png,1.0,174.01646423339844,174.01646423339844,0.0,,171.43881225585938,171.43881225585938,0.0,,'l',2.5516905784606934,2.5516905784606934,0.0,171.43881225585938,171.43881225585938,0.0,,171.43881225585938,171.43881225585938,0.0,,171.43881225585938,171.43881225585938,0.0,,15.0
stimsday2details/wedding28.png,stimsday2details/wedding20.png,1.0,180.566162109375,180.566162109375,0.0,,175.75010681152344,175.75010681152344,0.0,,'k',4.784893035888672,4.784893035888672,0.0,175.75010681152344,175.75010681152344,0.0,,175.75010681152344,175.75010681152344,0.0,,175.75010681152344,175.75010681152344,0.0,,16.0
stimsday2details/wedding20.png,stimsday2details/wedding6.png,1.0,90.35122680664062,90.35122680664062,0.0,,79.61807250976562,79.61807250976562,0.0,,'l',10.715631484985352,10.715631484985352,0.0,79.61807250976562,79.61807250976562,0.0,,79.61807250976562,79.61807250976562,0.0,,79.61807250976562,79.61807250976562,0.0,,4.0
stimsday2details/wedding6.png,stimsday2details/wedding17.png,1.0,77.83411407470703,77.83411407470703,0.0,,69.7201156616211,69.7201156616211,0.0,,'k',8.096587181091309,8.096587181091309,0.0,69.7201156616211,69.7201156616211,0.0,,69.7201156616211,69.7201156616211,0.0,,69.7201156616211,69.7201156616211,0.0,,3.0
stimsday2details/wedding17.png,stimsday2details/wedding22.png,1.0,113.30036926269531,113.30036926269531,0.0,,107.38460540771484,107.38460540771484,0.0,,'k',5.891715049743652,5.891715049743652,0.0,107.38460540771484,107.38460540771484,0.0,,107.38460540771484,107.38460540771484,0.0,,107.38460540771484,107.38460540771484,0.0,,7.0
stimsday2details/wedding38.png,stimsday2details/wedding23.png,1.0,164.73336791992188,164.73336791992188,0.0,,158.75083923339844,158.75083923339844,0.0,,'l',5.961604118347168,5.961604118347168,0.0,158.75083923339844,158.75083923339844,0.0,,158.75083923339844,158.75083923339844,0.0,,158.75083923339844,158.75083923339844,0.0,,13.0
stimsday2details/wedding34.png,stimsday2details/wedding38.png,1.0,48.636993408203125,48.636993408203125,0.0,,38.918582916259766,38.918582916259766,0.0,,'k',9.655302047729492,9.655302047729492,0.0,38.918582916259766,38.918582916259766,0.0,,38.918582916259766,38.918582916259766,0.0,,38.918582916259766,38.918582916259766,0.0,,0.0
stimsday2details/wedding19.png,stimsday2details/wedding34.png,1.0,122.86746215820312,122.86746215820312,0.0,,115.083984375,115.083984375,0.0,,'k',7.764228820800781,7.764228820800781,0.0,115.083984375,115.083984375,0.0,,115.083984375,115.083984375,0.0,,115.083984375,115.083984375,0.0,,8.0
stimsday2details/wedding1.png,stimsday2details/wedding19.png,1.0,194.16612243652344,194.16612243652344,0.0,,190.75,190.75,0.0,,'l',3.397355318069458,3.397355318069458,0.0,190.75,190.75,0.0,,190.75,190.75,0.0,,190.75,190.75,0.0,,18.0
stimsday2details/wedding29.png,stimsday2details/wedding1.png,1.0,142.9169921875,142.9169921875,0.0,,133.833984375,133.833984375,0.0,,'k',9.058752059936523,9.058752059936523,0.0,133.833984375,133.833984375,0.0,,133.833984375,133.833984375,0.0,,133.833984375,133.833984375,0.0,,10.0
stimsday2details/wedding2.png,stimsday2details/wedding29.png,1.0,67.91818237304688,67.91818237304688,0.0,,58.4844856262207,58.4844856262207,0.0,,'k',9.384647369384766,9.384647369384766,0.0,58.4844856262207,58.4844856262207,0.0,,58.4844856262207,58.4844856262207,0.0,,58.4844856262207,58.4844856262207,0.0,,2.0
stimsday2details/wedding28.png,stimsday2details/wedding2.png,1.0,105.6176528930664,105.6176528930664,0.0,,100.70024871826172,100.70024871826172,0.0,,'k',4.898365497589111,4.898365497589111,0.0,100.70024871826172,100.70024871826172,0.0,,100.70024871826172,100.70024871826172,0.0,,100.70024871826172,100.70024871826172,0.0,,6.0
stimsday2details/wedding20.png,stimsday2details/wedding28.png,1.0,98.96769714355469,98.96769714355469,0.0,,92.1192398071289,92.1192398071289,0.0,,'l',6.821712493896484,6.821712493896484,0.0,92.1192398071289,92.1192398071289,0.0,,92.1192398071289,92.1192398071289,0.0,,92.1192398071289,92.1192398071289,0.0,,5.0
stimsday2details/wedding6.png,stimsday2details/wedding20.png,1.0,189.0349884033203,189.0349884033203,0.0,,182.3327178955078,182.3327178955078,0.0,,'l',6.660907745361328,6.660907745361328,0.0,182.3327178955078,182.3327178955078,0.0,,182.3327178955078,182.3327178955078,0.0,,182.3327178955078,182.3327178955078,0.0,,17.0
stimsday2details/wedding17.png,stimsday2details/wedding6.png,1.0,132.10047912597656,132.10047912597656,0.0,,124.60028839111328,124.60028839111328,0.0,,'k',7.473988056182861,7.473988056182861,0.0,124.60028839111328,124.60028839111328,0.0,,124.60028839111328,124.60028839111328,0.0,,124.60028839111328,124.60028839111328,0.0,,9.0
