,onsets,offsets,weddNr
0,3.0,24.0,1.0
1,25.0,43.0,2.0
2,80.0,105.0,6.0
3,148.0,162.0,17.0
4,182.0,193.0,19.0
5,134.0,147.0,20.0
6,194.0,99998.0,22.0
7,63.0,79.0,23.0
8,119.0,133.0,28.0
9,106.0,118.0,29.0
10,44.0,62.0,34.0
11,163.0,181.0,38.0
