leftimage,rightimage,n,ITIfixation.started_mean,ITIfixation.started_raw,ITIfixation.started_std,ITIfixation.stopped_raw,Q.started_mean,Q.started_raw,Q.started_std,Q.stopped_raw,answer.keys_raw,answer.rt_mean,answer.rt_raw,answer.rt_std,answer.started_mean,answer.started_raw,answer.started_std,answer.stopped_raw,leftimageLoc.started_mean,leftimageLoc.started_raw,leftimageLoc.started_std,leftimageLoc.stopped_raw,rightimageLoc.started_mean,rightimageLoc.started_raw,rightimageLoc.started_std,rightimageLoc.stopped_raw,order
stimsday2details/wedding20.png,stimsday2details/wedding17.png,1.0,48.04456329345703,48.04456329345703,0.0,,45.87819290161133,45.87819290161133,0.0,,'l',2.147614002227783,2.147614002227783,0.0,45.87819290161133,45.87819290161133,0.0,,45.87819290161133,45.87819290161133,0.0,,45.87819290161133,45.87819290161133,0.0,,2.0
stimsday2details/wedding17.png,stimsday2details/wedding22.png,1.0,82.62782287597656,82.62782287597656,0.0,,74.36067199707031,74.36067199707031,0.0,,'k',8.249896049499512,8.249896049499512,0.0,74.36067199707031,74.36067199707031,0.0,,74.36067199707031,74.36067199707031,0.0,,74.36067199707031,74.36067199707031,0.0,,7.0
stimsday2details/wedding22.png,stimsday2details/wedding28.png,1.0,156.3264617919922,156.3264617919922,0.0,,155.14920043945312,155.14920043945312,0.0,,'k',1.1599955558776855,1.1599955558776855,0.0,155.14920043945312,155.14920043945312,0.0,,155.14920043945312,155.14920043945312,0.0,,155.14920043945312,155.14920043945312,0.0,,19.0
stimsday2details/wedding28.png,stimsday2details/wedding1.png,1.0,98.74385833740234,98.74385833740234,0.0,,91.3776626586914,91.3776626586914,0.0,,'l',7.347018241882324,7.347018241882324,0.0,91.3776626586914,91.3776626586914,0.0,,91.3776626586914,91.3776626586914,0.0,,91.3776626586914,91.3776626586914,0.0,,9.0
stimsday2details/wedding1.png,stimsday2details/wedding34.png,1.0,145.92648315429688,145.92648315429688,0.0,,144.16030883789062,144.16030883789062,0.0,,'l',1.736327886581421,1.736327886581421,0.0,144.16030883789062,144.16030883789062,0.0,,144.16030883789062,144.16030883789062,0.0,,144.16030883789062,144.16030883789062,0.0,,17.0
stimsday2details/wedding34.png,stimsday2details/wedding2.png,1.0,119.77692413330078,119.77692413330078,0.0,,118.27656555175781,118.27656555175781,0.0,,'k',1.4778615236282349,1.4778615236282349,0.0,118.27656555175781,118.27656555175781,0.0,,118.27656555175781,118.27656555175781,0.0,,118.27656555175781,118.27656555175781,0.0,,13.0
stimsday2details/wedding2.png,stimsday2details/wedding29.png,1.0,72.59427642822266,72.59427642822266,0.0,,67.76428985595703,67.76428985595703,0.0,,'l',4.805881023406982,4.805881023406982,0.0,67.76428985595703,67.76428985595703,0.0,,67.76428985595703,67.76428985595703,0.0,,67.76428985595703,67.76428985595703,0.0,,6.0
stimsday2details/wedding29.png,stimsday2details/wedding23.png,1.0,116.54381561279297,116.54381561279297,0.0,,114.3274917602539,114.3274917602539,0.0,,'l',2.197892904281616,2.197892904281616,0.0,114.3274917602539,114.3274917602539,0.0,,114.3274917602539,114.3274917602539,0.0,,114.3274917602539,114.3274917602539,0.0,,12.0
stimsday2details/wedding23.png,stimsday2details/wedding19.png,1.0,89.64405822753906,89.64405822753906,0.0,,84.3944320678711,84.3944320678711,0.0,,'k',5.22296142578125,5.22296142578125,0.0,84.3944320678711,84.3944320678711,0.0,,84.3944320678711,84.3944320678711,0.0,,84.3944320678711,84.3944320678711,0.0,,8.0
stimsday2details/wedding19.png,stimsday2details/wedding6.png,1.0,44.04449462890625,44.04449462890625,0.0,,39.895198822021484,39.895198822021484,0.0,,'k',4.131651401519775,4.131651401519775,0.0,39.895198822021484,39.895198822021484,0.0,,39.895198822021484,39.895198822021484,0.0,,39.895198822021484,39.895198822021484,0.0,,1.0
stimsday2details/wedding20.png,stimsday2details/wedding38.png,1.0,66.02808380126953,66.02808380126953,0.0,,61.28342056274414,61.28342056274414,0.0,,'l',4.723952770233154,4.723952770233154,0.0,61.28342056274414,61.28342056274414,0.0,,61.28342056274414,61.28342056274414,0.0,,61.28342056274414,61.28342056274414,0.0,,5.0
stimsday2details/wedding17.png,stimsday2details/wedding20.png,1.0,127.51049041748047,127.51049041748047,0.0,,121.51236724853516,121.51236724853516,0.0,,'k',5.975608825683594,5.975608825683594,0.0,121.51236724853516,121.51236724853516,0.0,,121.51236724853516,121.51236724853516,0.0,,121.51236724853516,121.51236724853516,0.0,,14.0
stimsday2details/wedding22.png,stimsday2details/wedding17.png,1.0,142.39369201660156,142.39369201660156,0.0,,139.87623596191406,139.87623596191406,0.0,,'l',2.4961094856262207,2.4961094856262207,0.0,139.87623596191406,139.87623596191406,0.0,,139.87623596191406,139.87623596191406,0.0,,139.87623596191406,139.87623596191406,0.0,,16.0
stimsday2details/wedding28.png,stimsday2details/wedding22.png,1.0,112.59368133544922,112.59368133544922,0.0,,107.07677459716797,107.07677459716797,0.0,,'l',5.496048927307129,5.496048927307129,0.0,107.07677459716797,107.07677459716797,0.0,,107.07677459716797,107.07677459716797,0.0,,107.07677459716797,107.07677459716797,0.0,,11.0
stimsday2details/wedding1.png,stimsday2details/wedding28.png,1.0,59.511043548583984,59.511043548583984,0.0,,56.178653717041016,56.178653717041016,0.0,,'k',3.305171489715576,3.305171489715576,0.0,56.178653717041016,56.178653717041016,0.0,,56.178653717041016,56.178653717041016,0.0,,56.178653717041016,56.178653717041016,0.0,,4.0
stimsday2details/wedding34.png,stimsday2details/wedding1.png,1.0,105.34416198730469,105.34416198730469,0.0,,100.47722625732422,100.47722625732422,0.0,,'k',4.838259220123291,4.838259220123291,0.0,100.47722625732422,100.47722625732422,0.0,,100.47722625732422,100.47722625732422,0.0,,100.47722625732422,100.47722625732422,0.0,,10.0
stimsday2details/wedding2.png,stimsday2details/wedding34.png,1.0,38.06165313720703,38.06165313720703,0.0,,15.514815330505371,15.514815330505371,0.0,,'l',22.497447967529297,22.497447967529297,0.0,15.514815330505371,15.514815330505371,0.0,,15.514815330505371,15.514815330505371,0.0,,15.514815330505371,15.514815330505371,0.0,,0.0
