,onsets,offsets,weddNr
0,138.0,166.0,1.0
1,167.0,191.0,2.0
2,67.0,87.0,6.0
3,285.0,307.0,17.0
4,42.0,66.0,19.0
5,3.0,41.0,20.0
6,192.0,227.0,22.0
7,228.0,248.0,23.0
8,88.0,119.0,28.0
9,249.0,284.0,29.0
10,308.0,99998.0,34.0
11,120.0,137.0,38.0
