,onsets,offsets,weddNr
0,174.0,222.0,1.0
1,71.0,106.0,2.0
2,336.0,373.0,6.0
3,223.0,253.0,17.0
4,419.0,99998.0,19.0
5,3.0,47.0,20.0
6,254.0,298.0,22.0
7,107.0,137.0,23.0
8,374.0,418.0,28.0
9,299.0,335.0,29.0
10,138.0,173.0,34.0
11,48.0,70.0,38.0
