,onsets,offsets,weddNr
0,68.0,103.0,1.0
1,329.0,99998.0,2.0
2,191.0,219.0,6.0
3,139.0,157.0,17.0
4,104.0,138.0,19.0
5,47.0,67.0,20.0
6,220.0,264.0,22.0
7,3.0,22.0,23.0
8,158.0,190.0,28.0
9,23.0,46.0,29.0
10,302.0,328.0,34.0
11,265.0,301.0,38.0
