,onsets,offsets,weddNr
0,269.0,297.0,1.0
1,3.0,30.0,2.0
2,154.0,182.0,6.0
3,315.0,99998.0,17.0
4,95.0,118.0,19.0
5,183.0,218.0,20.0
6,31.0,69.0,22.0
7,70.0,94.0,23.0
8,248.0,268.0,28.0
9,119.0,153.0,29.0
10,219.0,247.0,34.0
11,298.0,314.0,38.0
