,onsets,offsets,weddNr
0,339.0,384.0,1.0
1,158.0,211.0,2.0
2,573.0,99998.0,6.0
3,212.0,272.0,17.0
4,90.0,157.0,19.0
5,481.0,531.0,20.0
6,273.0,338.0,22.0
7,532.0,572.0,23.0
8,424.0,480.0,28.0
9,385.0,423.0,29.0
10,3.0,49.0,34.0
11,50.0,89.0,38.0
