,onsets,offsets,weddNr
0,162.0,193.0,1.0
1,210.0,231.0,2.0
2,113.0,132.0,6.0
3,61.0,88.0,17.0
4,89.0,112.0,19.0
5,194.0,209.0,20.0
6,47.0,60.0,22.0
7,151.0,161.0,23.0
8,133.0,150.0,28.0
9,3.0,20.0,29.0
10,21.0,46.0,34.0
11,232.0,99998.0,38.0
