leftimage,rightimage,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,leftimageLoc.started,leftimageLoc.stopped,rightimageLoc.started,rightimageLoc.stopped,answer.keys,answer.rt,answer.started,answer.stopped,Q.started,Q.stopped,ITIfixation.started,ITIfixation.stopped,session,participant,date,expName,psychopyVersion,frameRate,
stimsday2details/wedding17.png,stimsday2details/wedding20.png,0,0,0,18,14.328869405999967,None,14.328869405999967,None,k,14.108734139000035,14.328869405999967,None,14.328869405999967,None,28.46380812999996,None,001,4,2019_Jul_11_1832,sequencetask,3.1.3,59.94756961586182,
stimsday2details/wedding19.png,stimsday2details/wedding28.png,0,1,1,14,30.29809476200012,None,30.29809476200012,None,k,6.840836294999917,30.29809476200012,None,30.29809476200012,None,37.164366240999925,None,001,4,2019_Jul_11_1832,sequencetask,3.1.3,59.94756961586182,
stimsday2details/wedding34.png,stimsday2details/wedding20.png,0,2,2,6,38.932226035999975,None,38.932226035999975,None,k,13.763052829999879,38.932226035999975,None,38.932226035999975,None,52.714498318000096,None,001,4,2019_Jul_11_1832,sequencetask,3.1.3,59.94756961586182,
stimsday2details/wedding20.png,stimsday2details/wedding34.png,0,3,3,17,54.447932627,None,54.447932627,None,l,2.3481687130001774,54.447932627,None,54.447932627,None,56.81408611500001,None,001,4,2019_Jul_11_1832,sequencetask,3.1.3,59.94756961586182,
stimsday2details/wedding1.png,stimsday2details/wedding19.png,0,4,4,15,58.584734573000105,None,58.584734573000105,None,l,12.074823545000072,58.584734573000105,None,58.584734573000105,None,70.68032819900009,None,001,4,2019_Jul_11_1832,sequencetask,3.1.3,59.94756961586182,
stimsday2details/wedding19.png,stimsday2details/wedding1.png,0,5,5,4,72.41382048900005,None,72.41382048900005,None,k,2.258379997999782,72.41382048900005,None,72.41382048900005,None,74.69666231499991,None,001,4,2019_Jul_11_1832,sequencetask,3.1.3,59.94756961586182,
stimsday2details/wedding38.png,stimsday2details/wedding22.png,0,6,6,20,76.49836060799998,None,76.49836060799998,None,k,10.629392716999973,76.49836060799998,None,76.49836060799998,None,87.14683104000005,None,001,4,2019_Jul_11_1832,sequencetask,3.1.3,59.94756961586182,
stimsday2details/wedding23.png,stimsday2details/wedding29.png,0,7,7,0,88.9473079070001,None,88.9473079070001,None,l,6.2932136920001085,88.9473079070001,None,88.9473079070001,None,95.26330890400004,None,001,4,2019_Jul_11_1832,sequencetask,3.1.3,59.94756961586182,
stimsday2details/wedding38.png,stimsday2details/wedding2.png,0,8,8,10,97.03005044299994,None,97.03005044299994,None,k,3.6300194880000163,97.03005044299994,None,97.03005044299994,None,100.67995966700005,None,001,4,2019_Jul_11_1832,sequencetask,3.1.3,59.94756961586182,
stimsday2details/wedding29.png,stimsday2details/wedding6.png,0,9,9,1,102.44710460200008,None,102.44710460200008,None,k,5.9577621650000765,102.44710460200008,None,102.44710460200008,None,108.43001075899997,None,001,4,2019_Jul_11_1832,sequencetask,3.1.3,59.94756961586182,
stimsday2details/wedding6.png,stimsday2details/wedding28.png,0,10,10,2,110.1511179040001,None,110.1511179040001,None,k,4.953383817000031,110.1511179040001,None,110.1511179040001,None,115.12956079200012,None,001,4,2019_Jul_11_1832,sequencetask,3.1.3,59.94756961586182,
stimsday2details/wedding20.png,stimsday2details/wedding17.png,0,11,11,7,116.86745022800005,None,116.86745022800005,None,l,2.1889659569999367,116.86745022800005,None,116.86745022800005,None,119.07929730599994,None,001,4,2019_Jul_11_1832,sequencetask,3.1.3,59.94756961586182,
stimsday2details/wedding34.png,stimsday2details/wedding1.png,0,12,12,16,120.80212987999994,None,120.80212987999994,None,k,9.754778893000093,120.80212987999994,None,120.80212987999994,None,130.57944166300013,None,001,4,2019_Jul_11_1832,sequencetask,3.1.3,59.94756961586182,
stimsday2details/wedding2.png,stimsday2details/wedding38.png,0,13,13,21,132.29766526000003,None,132.29766526000003,None,l,2.989042477999874,132.29766526000003,None,132.29766526000003,None,135.3128470470001,None,001,4,2019_Jul_11_1832,sequencetask,3.1.3,59.94756961586182,
stimsday2details/wedding22.png,stimsday2details/wedding17.png,0,14,14,19,137.0456278700001,None,137.0456278700001,None,l,1.8817937030000849,137.0456278700001,None,137.0456278700001,None,138.94613172599998,None,001,4,2019_Jul_11_1832,sequencetask,3.1.3,59.94756961586182,
stimsday2details/wedding29.png,stimsday2details/wedding23.png,0,15,15,11,140.68187846799992,None,140.68187846799992,None,k,2.8013188580000588,140.68187846799992,None,140.68187846799992,None,143.51220600200008,None,001,4,2019_Jul_11_1832,sequencetask,3.1.3,59.94756961586182,
stimsday2details/wedding28.png,stimsday2details/wedding6.png,0,16,16,13,145.24641800500012,None,145.24641800500012,None,l,2.468540279999843,145.24641800500012,None,145.24641800500012,None,147.74544066199996,None,001,4,2019_Jul_11_1832,sequencetask,3.1.3,59.94756961586182,
stimsday2details/wedding17.png,stimsday2details/wedding22.png,0,17,17,8,149.4788913980001,None,149.4788913980001,None,k,4.176961938999966,149.4788913980001,None,149.4788913980001,None,153.6791625589999,None,001,4,2019_Jul_11_1832,sequencetask,3.1.3,59.94756961586182,
stimsday2details/wedding28.png,stimsday2details/wedding19.png,0,18,18,3,155.4013262620001,None,155.4013262620001,None,l,2.9162630789999184,155.4013262620001,None,155.4013262620001,None,158.346171036,None,001,4,2019_Jul_11_1832,sequencetask,3.1.3,59.94756961586182,
