1.8288 	WARNING 	Import Error: No module named 'psychtoolbox'. Using event module for keyboard component.
4.8725 	WARNING 	User requested fullscreen with size [2560 1440], but screen is actually [1920, 1080]. Using actual size
5.5201 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([0., 0., 0.]), colorSpace='rgb', fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x1329bc5710>, gamma=None, kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x132b8a2240>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1080]), stereo=False, units='norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
5.5201 	EXP 	window1: recordFrameIntervals = False
5.6861 	EXP 	window1: recordFrameIntervals = True
5.8695 	EXP 	window1: recordFrameIntervals = False
5.9931 	EXP 	Created text_2 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='text_2', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='Waiting for experimenter...', units='norm', win=Window(...), wrapWidth=1)
6.0020 	EXP 	Created waiting = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='waiting', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='Waiting for scanner...', units='norm', win=Window(...), wrapWidth=1)
6.0085 	EXP 	Created cueImage = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='cueImage', opacity=1.0, ori=0.0, pos=array([0. , 0.2]), size=array([0.8, 0.8]), texRes=128, units='norm', win=Window(...))
6.0405 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0, pos=array([ 0. , -0.5]), rgb=array([255., 255., 255.]), text=str(...), units='norm', win=Window(...), wrapWidth=1)
6.0865 	EXP 	text_2: autoDraw = True
6.8736 	DATA 	Keypress: g
6.8860 	EXP 	text_2: autoDraw = False
6.8860 	EXP 	waiting: autoDraw = True
30.5261 	DATA 	Keypress: equal
30.5373 	EXP 	Imported recall.csv as conditions, 12 conditions, 1 params
30.5382 	EXP 	Created sequence: random, trialTypes=12, nReps=1, seed=None
30.5387 	EXP 	New trial (rep=0, index=0): OrderedDict([('cue', 'stimsday2details/C19.png')])
30.5734 	EXP 	waiting: autoDraw = False
30.5734 	EXP 	cueImage: image = 'stimsday2details/C19.png'
30.5734 	EXP 	cueImage: autoDraw = True
30.5734 	EXP 	text: autoDraw = True
32.0246 	DATA 	Keypress: equal
33.5257 	DATA 	Keypress: equal
35.0250 	DATA 	Keypress: equal
36.5253 	DATA 	Keypress: equal
38.0259 	DATA 	Keypress: equal
39.5260 	DATA 	Keypress: equal
41.0254 	DATA 	Keypress: equal
42.5205 	DATA 	Keypress: equal
44.0262 	DATA 	Keypress: equal
45.5255 	DATA 	Keypress: equal
47.0251 	DATA 	Keypress: equal
48.5216 	DATA 	Keypress: equal
50.0256 	DATA 	Keypress: equal
51.5203 	DATA 	Keypress: equal
53.0244 	DATA 	Keypress: equal
54.5203 	DATA 	Keypress: equal
56.0253 	DATA 	Keypress: equal
57.5207 	DATA 	Keypress: equal
59.0208 	DATA 	Keypress: equal
60.5206 	DATA 	Keypress: equal
62.0204 	DATA 	Keypress: equal
63.5239 	DATA 	Keypress: equal
65.0206 	DATA 	Keypress: equal
66.5201 	DATA 	Keypress: equal
68.0254 	DATA 	Keypress: equal
69.5204 	DATA 	Keypress: equal
71.0202 	DATA 	Keypress: equal
72.5204 	DATA 	Keypress: equal
74.0204 	DATA 	Keypress: equal
75.5206 	DATA 	Keypress: equal
77.0253 	DATA 	Keypress: equal
78.5251 	DATA 	Keypress: equal
80.0252 	DATA 	Keypress: equal
81.5197 	DATA 	Keypress: equal
83.0198 	DATA 	Keypress: equal
84.5197 	DATA 	Keypress: equal
86.0199 	DATA 	Keypress: equal
87.5195 	DATA 	Keypress: equal
89.0195 	DATA 	Keypress: equal
90.5195 	DATA 	Keypress: equal
92.0195 	DATA 	Keypress: equal
93.5195 	DATA 	Keypress: equal
95.0195 	DATA 	Keypress: equal
96.5197 	DATA 	Keypress: equal
98.0248 	DATA 	Keypress: equal
98.3371 	DATA 	Keypress: space
98.4785 	EXP 	New trial (rep=0, index=1): OrderedDict([('cue', 'stimsday2details/C34.png')])
98.5018 	EXP 	cueImage: autoDraw = False
98.5018 	EXP 	text: autoDraw = False
98.5018 	EXP 	cueImage: image = 'stimsday2details/C34.png'
98.5018 	EXP 	cueImage: autoDraw = True
98.5018 	EXP 	text: autoDraw = True
99.5196 	DATA 	Keypress: equal
101.0201 	DATA 	Keypress: equal
102.5235 	DATA 	Keypress: equal
104.0249 	DATA 	Keypress: equal
105.5249 	DATA 	Keypress: equal
107.0256 	DATA 	Keypress: equal
108.5200 	DATA 	Keypress: equal
110.0200 	DATA 	Keypress: equal
111.5203 	DATA 	Keypress: equal
113.0248 	DATA 	Keypress: equal
114.5201 	DATA 	Keypress: equal
116.0248 	DATA 	Keypress: equal
117.5241 	DATA 	Keypress: equal
119.0235 	DATA 	Keypress: equal
120.5200 	DATA 	Keypress: equal
122.0246 	DATA 	Keypress: equal
123.5246 	DATA 	Keypress: equal
125.0240 	DATA 	Keypress: equal
126.5244 	DATA 	Keypress: equal
128.0251 	DATA 	Keypress: equal
129.5241 	DATA 	Keypress: equal
131.0233 	DATA 	Keypress: equal
132.5198 	DATA 	Keypress: equal
134.0203 	DATA 	Keypress: equal
135.5245 	DATA 	Keypress: equal
137.0198 	DATA 	Keypress: equal
138.5201 	DATA 	Keypress: equal
140.0203 	DATA 	Keypress: equal
141.5201 	DATA 	Keypress: equal
143.0200 	DATA 	Keypress: equal
144.5202 	DATA 	Keypress: equal
146.0201 	DATA 	Keypress: equal
147.5203 	DATA 	Keypress: equal
149.0199 	DATA 	Keypress: equal
150.5191 	DATA 	Keypress: equal
152.0189 	DATA 	Keypress: equal
153.5247 	DATA 	Keypress: equal
155.0240 	DATA 	Keypress: equal
156.5187 	DATA 	Keypress: equal
158.0241 	DATA 	Keypress: equal
159.5242 	DATA 	Keypress: equal
161.0187 	DATA 	Keypress: equal
162.5186 	DATA 	Keypress: equal
164.0187 	DATA 	Keypress: equal
165.5188 	DATA 	Keypress: equal
167.0246 	DATA 	Keypress: equal
168.5192 	DATA 	Keypress: equal
170.0188 	DATA 	Keypress: equal
171.5190 	DATA 	Keypress: equal
173.0187 	DATA 	Keypress: equal
174.5192 	DATA 	Keypress: equal
176.0190 	DATA 	Keypress: equal
177.5229 	DATA 	Keypress: equal
179.0192 	DATA 	Keypress: equal
180.5190 	DATA 	Keypress: equal
182.0190 	DATA 	Keypress: equal
183.5191 	DATA 	Keypress: equal
185.0239 	DATA 	Keypress: equal
186.5223 	DATA 	Keypress: equal
188.0242 	DATA 	Keypress: equal
189.5233 	DATA 	Keypress: equal
191.0235 	DATA 	Keypress: equal
192.5229 	DATA 	Keypress: equal
194.0189 	DATA 	Keypress: equal
195.5192 	DATA 	Keypress: equal
196.7223 	DATA 	Keypress: space
196.8699 	EXP 	New trial (rep=0, index=2): OrderedDict([('cue', 'stimsday2details/C38.png')])
196.9002 	EXP 	cueImage: autoDraw = False
196.9002 	EXP 	text: autoDraw = False
196.9002 	EXP 	cueImage: image = 'stimsday2details/C38.png'
196.9002 	EXP 	cueImage: autoDraw = True
196.9002 	EXP 	text: autoDraw = True
197.0192 	DATA 	Keypress: equal
198.5235 	DATA 	Keypress: equal
200.0226 	DATA 	Keypress: equal
201.5230 	DATA 	Keypress: equal
203.0190 	DATA 	Keypress: equal
204.5193 	DATA 	Keypress: equal
206.0242 	DATA 	Keypress: equal
207.5233 	DATA 	Keypress: equal
209.0228 	DATA 	Keypress: equal
210.5193 	DATA 	Keypress: equal
212.0227 	DATA 	Keypress: equal
213.5190 	DATA 	Keypress: equal
215.0190 	DATA 	Keypress: equal
216.5179 	DATA 	Keypress: equal
218.0189 	DATA 	Keypress: equal
219.5184 	DATA 	Keypress: equal
221.0192 	DATA 	Keypress: equal
222.5181 	DATA 	Keypress: equal
224.0192 	DATA 	Keypress: equal
225.5181 	DATA 	Keypress: equal
227.0186 	DATA 	Keypress: equal
228.5194 	DATA 	Keypress: equal
230.0193 	DATA 	Keypress: equal
231.5179 	DATA 	Keypress: equal
233.0184 	DATA 	Keypress: equal
234.5239 	DATA 	Keypress: equal
236.0194 	DATA 	Keypress: equal
237.5177 	DATA 	Keypress: equal
239.0188 	DATA 	Keypress: equal
240.5180 	DATA 	Keypress: equal
242.0276 	DATA 	Keypress: equal
243.5271 	DATA 	Keypress: equal
245.0274 	DATA 	Keypress: equal
246.5267 	DATA 	Keypress: equal
248.0180 	DATA 	Keypress: equal
249.5182 	DATA 	Keypress: equal
251.0180 	DATA 	Keypress: equal
252.5183 	DATA 	Keypress: equal
254.0181 	DATA 	Keypress: equal
255.5181 	DATA 	Keypress: equal
257.0182 	DATA 	Keypress: equal
258.5182 	DATA 	Keypress: equal
260.0181 	DATA 	Keypress: equal
261.5181 	DATA 	Keypress: equal
263.0273 	DATA 	Keypress: equal
264.5278 	DATA 	Keypress: equal
266.0184 	DATA 	Keypress: equal
267.5223 	DATA 	Keypress: equal
269.0180 	DATA 	Keypress: equal
270.5184 	DATA 	Keypress: equal
272.0184 	DATA 	Keypress: equal
273.5229 	DATA 	Keypress: equal
275.0231 	DATA 	Keypress: equal
276.5225 	DATA 	Keypress: equal
278.0230 	DATA 	Keypress: equal
279.5226 	DATA 	Keypress: equal
281.0227 	DATA 	Keypress: equal
282.5185 	DATA 	Keypress: equal
284.0178 	DATA 	Keypress: equal
285.5231 	DATA 	Keypress: equal
287.0187 	DATA 	Keypress: equal
288.5173 	DATA 	Keypress: equal
290.0221 	DATA 	Keypress: equal
291.5224 	DATA 	Keypress: equal
293.0110 	DATA 	Keypress: equal
294.5106 	DATA 	Keypress: equal
296.0181 	DATA 	Keypress: equal
297.5169 	DATA 	Keypress: equal
299.0221 	DATA 	Keypress: equal
300.5224 	DATA 	Keypress: equal
302.0219 	DATA 	Keypress: equal
302.1010 	DATA 	Keypress: space
302.2377 	EXP 	New trial (rep=0, index=3): OrderedDict([('cue', 'stimsday2details/C22.png')])
302.2656 	EXP 	cueImage: autoDraw = False
302.2656 	EXP 	text: autoDraw = False
302.2656 	EXP 	cueImage: image = 'stimsday2details/C22.png'
302.2656 	EXP 	cueImage: autoDraw = True
302.2656 	EXP 	text: autoDraw = True
303.5185 	DATA 	Keypress: equal
305.0183 	DATA 	Keypress: equal
306.5182 	DATA 	Keypress: equal
308.0176 	DATA 	Keypress: equal
309.5175 	DATA 	Keypress: equal
311.0177 	DATA 	Keypress: equal
312.5171 	DATA 	Keypress: equal
314.0221 	DATA 	Keypress: equal
315.5214 	DATA 	Keypress: equal
317.0175 	DATA 	Keypress: equal
318.5224 	DATA 	Keypress: equal
320.0176 	DATA 	Keypress: equal
321.5173 	DATA 	Keypress: equal
323.0166 	DATA 	Keypress: equal
324.5176 	DATA 	Keypress: equal
326.0176 	DATA 	Keypress: equal
327.5207 	DATA 	Keypress: equal
329.0221 	DATA 	Keypress: equal
330.5223 	DATA 	Keypress: equal
332.0170 	DATA 	Keypress: equal
333.5172 	DATA 	Keypress: equal
335.0174 	DATA 	Keypress: equal
336.5172 	DATA 	Keypress: equal
338.0173 	DATA 	Keypress: equal
339.5180 	DATA 	Keypress: equal
341.0172 	DATA 	Keypress: equal
342.5172 	DATA 	Keypress: equal
344.0175 	DATA 	Keypress: equal
345.5174 	DATA 	Keypress: equal
347.0178 	DATA 	Keypress: equal
348.5210 	DATA 	Keypress: equal
350.0222 	DATA 	Keypress: equal
351.5215 	DATA 	Keypress: equal
353.0218 	DATA 	Keypress: equal
354.5221 	DATA 	Keypress: equal
356.0210 	DATA 	Keypress: equal
357.5100 	DATA 	Keypress: equal
359.0093 	DATA 	Keypress: equal
360.5097 	DATA 	Keypress: equal
362.0210 	DATA 	Keypress: equal
363.5170 	DATA 	Keypress: equal
365.0171 	DATA 	Keypress: equal
366.5174 	DATA 	Keypress: equal
368.0174 	DATA 	Keypress: equal
369.5176 	DATA 	Keypress: equal
371.0174 	DATA 	Keypress: equal
372.5163 	DATA 	Keypress: equal
374.0173 	DATA 	Keypress: equal
375.5173 	DATA 	Keypress: equal
377.0162 	DATA 	Keypress: equal
378.5063 	DATA 	Keypress: equal
380.0219 	DATA 	Keypress: equal
381.5212 	DATA 	Keypress: equal
383.0164 	DATA 	Keypress: equal
384.5171 	DATA 	Keypress: equal
386.0169 	DATA 	Keypress: equal
387.5163 	DATA 	Keypress: equal
389.0172 	DATA 	Keypress: equal
390.5062 	DATA 	Keypress: equal
392.0065 	DATA 	Keypress: equal
392.3828 	DATA 	Keypress: space
392.5199 	EXP 	New trial (rep=0, index=4): OrderedDict([('cue', 'stimsday2details/C28.png')])
392.5489 	EXP 	cueImage: autoDraw = False
392.5489 	EXP 	text: autoDraw = False
392.5489 	EXP 	cueImage: image = 'stimsday2details/C28.png'
392.5489 	EXP 	cueImage: autoDraw = True
392.5489 	EXP 	text: autoDraw = True
393.5174 	DATA 	Keypress: equal
395.0172 	DATA 	Keypress: equal
396.5064 	DATA 	Keypress: equal
398.0170 	DATA 	Keypress: equal
399.5165 	DATA 	Keypress: equal
401.0169 	DATA 	Keypress: equal
402.5156 	DATA 	Keypress: equal
404.0162 	DATA 	Keypress: equal
405.5164 	DATA 	Keypress: equal
407.0073 	DATA 	Keypress: equal
408.5164 	DATA 	Keypress: equal
410.0055 	DATA 	Keypress: equal
411.5059 	DATA 	Keypress: equal
413.0205 	DATA 	Keypress: equal
414.5156 	DATA 	Keypress: equal
416.0164 	DATA 	Keypress: equal
417.5164 	DATA 	Keypress: equal
419.0162 	DATA 	Keypress: equal
420.5163 	DATA 	Keypress: equal
422.0053 	DATA 	Keypress: equal
423.5201 	DATA 	Keypress: equal
425.0212 	DATA 	Keypress: equal
426.1871 	DATA 	Keypress: space
426.3267 	EXP 	New trial (rep=0, index=5): OrderedDict([('cue', 'stimsday2details/C29.png')])
426.3486 	EXP 	cueImage: autoDraw = False
426.3486 	EXP 	text: autoDraw = False
426.3486 	EXP 	cueImage: image = 'stimsday2details/C29.png'
426.3486 	EXP 	cueImage: autoDraw = True
426.3486 	EXP 	text: autoDraw = True
426.5046 	DATA 	Keypress: equal
428.0202 	DATA 	Keypress: equal
429.5045 	DATA 	Keypress: equal
431.0164 	DATA 	Keypress: equal
432.5194 	DATA 	Keypress: equal
434.0207 	DATA 	Keypress: equal
435.5212 	DATA 	Keypress: equal
437.0206 	DATA 	Keypress: equal
438.5210 	DATA 	Keypress: equal
440.0215 	DATA 	Keypress: equal
441.5206 	DATA 	Keypress: equal
443.0199 	DATA 	Keypress: equal
444.5202 	DATA 	Keypress: equal
446.0045 	DATA 	Keypress: equal
447.5213 	DATA 	Keypress: equal
449.0205 	DATA 	Keypress: equal
450.5198 	DATA 	Keypress: equal
452.0200 	DATA 	Keypress: equal
453.5163 	DATA 	Keypress: equal
455.0157 	DATA 	Keypress: equal
456.5204 	DATA 	Keypress: equal
458.0150 	DATA 	Keypress: equal
459.5044 	DATA 	Keypress: equal
461.0037 	DATA 	Keypress: equal
462.5152 	DATA 	Keypress: equal
464.0204 	DATA 	Keypress: equal
465.5208 	DATA 	Keypress: equal
467.0205 	DATA 	Keypress: equal
468.5038 	DATA 	Keypress: equal
470.0039 	DATA 	Keypress: equal
471.5033 	DATA 	Keypress: equal
473.0031 	DATA 	Keypress: equal
474.5199 	DATA 	Keypress: equal
476.0153 	DATA 	Keypress: equal
477.5153 	DATA 	Keypress: equal
479.0160 	DATA 	Keypress: equal
480.5151 	DATA 	Keypress: equal
482.0189 	DATA 	Keypress: equal
483.5151 	DATA 	Keypress: equal
485.0038 	DATA 	Keypress: equal
486.0029 	DATA 	Keypress: space
486.1426 	EXP 	New trial (rep=0, index=6): OrderedDict([('cue', 'stimsday2details/C6.png')])
486.1645 	EXP 	cueImage: autoDraw = False
486.1645 	EXP 	text: autoDraw = False
486.1645 	EXP 	cueImage: image = 'stimsday2details/C6.png'
486.1645 	EXP 	cueImage: autoDraw = True
486.1645 	EXP 	text: autoDraw = True
486.5041 	DATA 	Keypress: equal
488.0203 	DATA 	Keypress: equal
489.5153 	DATA 	Keypress: equal
491.0155 	DATA 	Keypress: equal
492.5196 	DATA 	Keypress: equal
494.0151 	DATA 	Keypress: equal
495.5030 	DATA 	Keypress: equal
497.0036 	DATA 	Keypress: equal
498.5193 	DATA 	Keypress: equal
500.0203 	DATA 	Keypress: equal
501.5151 	DATA 	Keypress: equal
503.0150 	DATA 	Keypress: equal
504.5150 	DATA 	Keypress: equal
506.0154 	DATA 	Keypress: equal
507.5153 	DATA 	Keypress: equal
509.0152 	DATA 	Keypress: equal
510.5154 	DATA 	Keypress: equal
512.0150 	DATA 	Keypress: equal
513.5021 	DATA 	Keypress: equal
515.0194 	DATA 	Keypress: equal
516.5197 	DATA 	Keypress: equal
518.0189 	DATA 	Keypress: equal
519.5195 	DATA 	Keypress: equal
521.0153 	DATA 	Keypress: equal
522.5154 	DATA 	Keypress: equal
524.0195 	DATA 	Keypress: equal
525.5199 	DATA 	Keypress: equal
527.0012 	DATA 	Keypress: equal
528.5188 	DATA 	Keypress: equal
530.0002 	DATA 	Keypress: equal
531.5152 	DATA 	Keypress: equal
533.0140 	DATA 	Keypress: equal
534.5030 	DATA 	Keypress: equal
536.0036 	DATA 	Keypress: equal
537.5187 	DATA 	Keypress: equal
539.0023 	DATA 	Keypress: equal
540.5003 	DATA 	Keypress: equal
542.0151 	DATA 	Keypress: equal
543.5025 	DATA 	Keypress: equal
545.0020 	DATA 	Keypress: equal
546.5192 	DATA 	Keypress: equal
548.0030 	DATA 	Keypress: equal
549.5034 	DATA 	Keypress: equal
551.0027 	DATA 	Keypress: equal
552.5029 	DATA 	Keypress: equal
553.9999 	DATA 	Keypress: equal
555.4999 	DATA 	Keypress: equal
556.9999 	DATA 	Keypress: equal
558.5142 	DATA 	Keypress: equal
560.0000 	DATA 	Keypress: equal
561.4998 	DATA 	Keypress: equal
563.0142 	DATA 	Keypress: equal
564.4998 	DATA 	Keypress: equal
565.3352 	DATA 	Keypress: space
565.4681 	EXP 	New trial (rep=0, index=7): OrderedDict([('cue', 'stimsday2details/C17.png')])
565.4957 	EXP 	cueImage: autoDraw = False
565.4957 	EXP 	text: autoDraw = False
565.4957 	EXP 	cueImage: image = 'stimsday2details/C17.png'
565.4957 	EXP 	cueImage: autoDraw = True
565.4957 	EXP 	text: autoDraw = True
566.0000 	DATA 	Keypress: equal
567.5000 	DATA 	Keypress: equal
568.9999 	DATA 	Keypress: equal
570.4998 	DATA 	Keypress: equal
572.0000 	DATA 	Keypress: equal
573.5019 	DATA 	Keypress: equal
575.0020 	DATA 	Keypress: equal
576.5023 	DATA 	Keypress: equal
577.9987 	DATA 	Keypress: equal
579.4986 	DATA 	Keypress: equal
581.0021 	DATA 	Keypress: equal
582.5024 	DATA 	Keypress: equal
583.9984 	DATA 	Keypress: equal
585.4982 	DATA 	Keypress: equal
586.9986 	DATA 	Keypress: equal
588.4986 	DATA 	Keypress: equal
589.9990 	DATA 	Keypress: equal
591.5019 	DATA 	Keypress: equal
593.0014 	DATA 	Keypress: equal
594.4988 	DATA 	Keypress: equal
595.9984 	DATA 	Keypress: equal
597.4992 	DATA 	Keypress: equal
599.0059 	DATA 	Keypress: equal
600.5065 	DATA 	Keypress: equal
602.0066 	DATA 	Keypress: equal
603.4975 	DATA 	Keypress: equal
604.9976 	DATA 	Keypress: equal
606.4979 	DATA 	Keypress: equal
608.0012 	DATA 	Keypress: equal
609.5017 	DATA 	Keypress: equal
611.0019 	DATA 	Keypress: equal
612.5021 	DATA 	Keypress: equal
614.0024 	DATA 	Keypress: equal
615.5018 	DATA 	Keypress: equal
617.0021 	DATA 	Keypress: equal
618.5014 	DATA 	Keypress: equal
620.0018 	DATA 	Keypress: equal
621.5021 	DATA 	Keypress: equal
623.0004 	DATA 	Keypress: equal
624.5008 	DATA 	Keypress: equal
625.9984 	DATA 	Keypress: equal
627.4969 	DATA 	Keypress: equal
629.0018 	DATA 	Keypress: equal
630.5011 	DATA 	Keypress: equal
632.0016 	DATA 	Keypress: equal
633.5009 	DATA 	Keypress: equal
634.9972 	DATA 	Keypress: equal
636.4976 	DATA 	Keypress: equal
637.9962 	DATA 	Keypress: equal
638.7133 	DATA 	Keypress: space
638.8537 	EXP 	New trial (rep=0, index=8): OrderedDict([('cue', 'stimsday2details/C20.png')])
638.8786 	EXP 	cueImage: autoDraw = False
638.8786 	EXP 	text: autoDraw = False
638.8786 	EXP 	cueImage: image = 'stimsday2details/C20.png'
638.8786 	EXP 	cueImage: autoDraw = True
638.8786 	EXP 	text: autoDraw = True
639.4973 	DATA 	Keypress: equal
640.9972 	DATA 	Keypress: equal
642.4971 	DATA 	Keypress: equal
643.9964 	DATA 	Keypress: equal
645.5014 	DATA 	Keypress: equal
646.9972 	DATA 	Keypress: equal
648.4965 	DATA 	Keypress: equal
649.9973 	DATA 	Keypress: equal
651.4970 	DATA 	Keypress: equal
652.9961 	DATA 	Keypress: equal
654.4968 	DATA 	Keypress: equal
655.9972 	DATA 	Keypress: equal
657.4961 	DATA 	Keypress: equal
658.9962 	DATA 	Keypress: equal
660.4966 	DATA 	Keypress: equal
661.9965 	DATA 	Keypress: equal
663.4960 	DATA 	Keypress: equal
664.9967 	DATA 	Keypress: equal
666.4965 	DATA 	Keypress: equal
