116.6512 	DATA 	Keypress: equal
118.1516 	DATA 	Keypress: equal
119.6512 	DATA 	Keypress: equal
121.1511 	DATA 	Keypress: equal
122.6511 	DATA 	Keypress: equal
124.1511 	DATA 	Keypress: equal
125.5843 	DATA 	Keypress: space
125.7251 	EXP 	New trial (rep=0, index=3): OrderedDict([('cue', 'stimsday2details/C38.png')])
125.7387 	DATA 	Keypress: equal
125.7495 	EXP 	cueImage: autoDraw = False
125.7495 	EXP 	text: autoDraw = False
125.7495 	EXP 	cueImage: image = 'stimsday2details/C38.png'
125.7495 	EXP 	cueImage: autoDraw = True
125.7495 	EXP 	text: autoDraw = True
127.1513 	DATA 	Keypress: equal
128.6513 	DATA 	Keypress: equal
130.1512 	DATA 	Keypress: equal
131.6512 	DATA 	Keypress: equal
133.1515 	DATA 	Keypress: equal
134.6511 	DATA 	Keypress: equal
136.1510 	DATA 	Keypress: equal
137.6512 	DATA 	Keypress: equal
139.1509 	DATA 	Keypress: equal
140.6509 	DATA 	Keypress: equal
142.1509 	DATA 	Keypress: equal
143.6512 	DATA 	Keypress: equal
145.1509 	DATA 	Keypress: equal
146.6509 	DATA 	Keypress: equal
148.1507 	DATA 	Keypress: equal
149.6508 	DATA 	Keypress: equal
151.1508 	DATA 	Keypress: equal
152.6508 	DATA 	Keypress: equal
153.7005 	DATA 	Keypress: space
153.8389 	EXP 	New trial (rep=0, index=4): OrderedDict([('cue', 'stimsday2details/C6.png')])
153.8659 	EXP 	cueImage: autoDraw = False
153.8659 	EXP 	text: autoDraw = False
153.8659 	EXP 	cueImage: image = 'stimsday2details/C6.png'
153.8659 	EXP 	cueImage: autoDraw = True
153.8659 	EXP 	text: autoDraw = True
154.1509 	DATA 	Keypress: equal
155.6512 	DATA 	Keypress: equal
157.1509 	DATA 	Keypress: equal
158.6507 	DATA 	Keypress: equal
160.1508 	DATA 	Keypress: equal
161.6508 	DATA 	Keypress: equal
163.1508 	DATA 	Keypress: equal
164.6505 	DATA 	Keypress: equal
166.1504 	DATA 	Keypress: equal
167.6508 	DATA 	Keypress: equal
169.1504 	DATA 	Keypress: equal
170.6504 	DATA 	Keypress: equal
172.1506 	DATA 	Keypress: equal
173.6507 	DATA 	Keypress: equal
175.1506 	DATA 	Keypress: equal
176.6505 	DATA 	Keypress: equal
178.1505 	DATA 	Keypress: equal
179.6507 	DATA 	Keypress: equal
181.1505 	DATA 	Keypress: equal
182.6504 	DATA 	Keypress: equal
184.1504 	DATA 	Keypress: equal
185.6504 	DATA 	Keypress: equal
187.1506 	DATA 	Keypress: equal
188.6504 	DATA 	Keypress: equal
190.1505 	DATA 	Keypress: equal
191.6508 	DATA 	Keypress: equal
193.1505 	DATA 	Keypress: equal
194.6503 	DATA 	Keypress: equal
196.1504 	DATA 	Keypress: equal
197.6505 	DATA 	Keypress: equal
199.1504 	DATA 	Keypress: equal
200.6502 	DATA 	Keypress: equal
202.1501 	DATA 	Keypress: equal
203.6506 	DATA 	Keypress: equal
205.1501 	DATA 	Keypress: equal
206.6501 	DATA 	Keypress: equal
208.1501 	DATA 	Keypress: equal
209.6502 	DATA 	Keypress: equal
211.1502 	DATA 	Keypress: equal
212.6502 	DATA 	Keypress: equal
214.1500 	DATA 	Keypress: equal
215.6500 	DATA 	Keypress: equal
217.1500 	DATA 	Keypress: equal
217.5500 	DATA 	Keypress: space
