cue,n,cueImage.started_mean,cueImage.started_raw,cueImage.started_std,cueImage.stopped_raw,keyToMoveOn.keys_raw,keyToMoveOn.rt_mean,keyToMoveOn.rt_raw,keyToMoveOn.rt_std,keyToMoveOn.started_mean,keyToMoveOn.started_raw,keyToMoveOn.started_std,keyToMoveOn.stopped_raw,text.started_mean,text.started_raw,text.started_std,text.stopped_raw,order
stimsday2details/C1.png,1.0,453.61724853515625,453.61724853515625,0.0,,'space',38.75606918334961,38.75606918334961,0.0,453.61724853515625,453.61724853515625,0.0,,453.61724853515625,453.61724853515625,0.0,,8.0
stimsday2details/C2.png,1.0,231.52084350585938,231.52084350585938,0.0,,'space',22.359066009521484,22.359066009521484,0.0,231.52084350585938,231.52084350585938,0.0,,231.52084350585938,231.52084350585938,0.0,,3.0
stimsday2details/C6.png,1.0,587.249267578125,587.249267578125,0.0,,'space',39.801387786865234,39.801387786865234,0.0,587.249267578125,587.249267578125,0.0,,587.249267578125,587.249267578125,0.0,,11.0
stimsday2details/C17.png,1.0,399.2353515625,399.2353515625,0.0,,'space',19.101438522338867,19.101438522338867,0.0,399.2353515625,399.2353515625,0.0,,399.2353515625,399.2353515625,0.0,,6.0
stimsday2details/C19.png,1.0,492.5335693359375,492.5335693359375,0.0,,'space',57.90254592895508,57.90254592895508,0.0,492.5335693359375,492.5335693359375,0.0,,492.5335693359375,492.5335693359375,0.0,,9.0
stimsday2details/C20.png,1.0,31.48914909362793,31.48914909362793,0.0,,'space',37.89411926269531,37.89411926269531,0.0,31.48914909362793,31.48914909362793,0.0,,31.48914909362793,31.48914909362793,0.0,,0.0
stimsday2details/C22.png,1.0,254.04132080078125,254.04132080078125,0.0,,'space',30.3177547454834,30.3177547454834,0.0,254.04132080078125,254.04132080078125,0.0,,254.04132080078125,254.04132080078125,0.0,,4.0
stimsday2details/C23.png,1.0,418.5015563964844,418.5015563964844,0.0,,'space',34.95583724975586,34.95583724975586,0.0,418.5015563964844,418.5015563964844,0.0,,418.5015563964844,418.5015563964844,0.0,,7.0
stimsday2details/C28.png,1.0,138.93846130371094,138.93846130371094,0.0,,'space',92.40495300292969,92.40495300292969,0.0,138.93846130371094,138.93846130371094,0.0,,138.93846130371094,138.93846130371094,0.0,,2.0
stimsday2details/C29.png,1.0,284.52001953125,284.52001953125,0.0,,'space',114.55423736572266,114.55423736572266,0.0,284.52001953125,284.52001953125,0.0,,284.52001953125,284.52001953125,0.0,,5.0
stimsday2details/C34.png,1.0,550.60009765625,550.60009765625,0.0,,'space',36.4896125793457,36.4896125793457,0.0,550.60009765625,550.60009765625,0.0,,550.60009765625,550.60009765625,0.0,,10.0
stimsday2details/C38.png,1.0,69.53901672363281,69.53901672363281,0.0,,'space',69.2320785522461,69.2320785522461,0.0,69.53901672363281,69.53901672363281,0.0,,69.53901672363281,69.53901672363281,0.0,,1.0

extraInfo
session,001
participant,1
date,2019_Jun_12_0943
expName,recall
psychopyVersion,3.1.2
frameRate,60.00069684634447
