Question,answer.thisRepN,answer.thisTrialN,answer.thisN,answer.thisIndex,QuestionNr.started,QuestionNr.stopped,answer1.response,answer1.rt,answer1.history,answer1.started,answer1.stopped,answer2.response,answer2.rt,answer2.history,answer2.started,answer2.stopped,answer3.response,answer3.rt,answer3.history,answer3.started,answer3.stopped,answer4.response,answer4.rt,answer4.history,answer4.started,answer4.stopped,answer5.response,answer5.rt,answer5.history,answer5.started,answer5.stopped,answer6.response,answer6.rt,answer6.history,answer6.started,answer6.stopped,blank.started,blank.stopped,session,participant,date,expName,psychopyVersion,frameRate,
"When a couple from the SOUTH just held a torch together, the most likely next event is:",0,0,0,7,14.164451293999946,None,0,94.473,"[(None, 0.0), (1, 72.388), (0, 73.823), (1, 78.657), (0, 81.289), (0, 94.473)]",0.19792405699990923,None,None,None,"[(None, 0.0), (4, 69.116), (3, 69.584), (0, 69.621), (1, 85.085)]",0.19792405699990923,None,None,None,"[(None, 0.0), (0, 63.878)]",0.19792405699990923,None,None,None,"[(None, 0.0), (1, 65.943), (0, 67.91)]",0.19792405699990923,None,None,None,"[(None, 0.0), (97, 54.671), (98, 55.671), (100, 55.709)]",0.19792405699990923,None,None,None,"[(None, 0.0), (72, 41.429), (73, 57.668), (69, 57.766), (55, 57.805), (41, 57.839), (28, 57.872), (21, 57.903), (17, 57.937), (16, 57.969), (12, 58.334), (8, 58.37), (3, 58.404), (0, 58.437)]",0.19792405699990923,None,108.59979537599997,None,001,12,2019_Aug_27_1629,schematest,3.1.3,59.70147222095679,
"When a couple from the SOUTH just planted a flower, the most likely next event is:",0,1,1,5,109.28310243100009,None,None,None,"[(None, 0.0), (2, 11.31), (0, 11.878)]",0.1590160509999805,None,None,None,"[(None, 0.0), (1, 6.74), (2, 7.344), (0, 7.474)]",0.1590160509999805,None,None,None,"[(None, 0.0), (100, 17.874)]",0.1590160509999805,None,0,28.672,"[(None, 0.0), (4, 9.103), (0, 9.671), (0, 28.672)]",0.1590160509999805,None,None,None,"[(None, 0.0), (0, 13.836)]",0.1590160509999805,None,None,None,"[(None, 0.0), (1, 19.501), (2, 21.0), (0, 21.099)]",0.1590160509999805,None,137.96593696800005,None,001,12,2019_Aug_27_1629,schematest,3.1.3,59.70147222095679,
"When a couple from the SOUTH just celebrated around a campfire, the most likely next event is:",0,2,2,4,138.64892665900015,None,0,24.93,"[(None, 0.0), (2, 7.379), (1, 8.081), (0, 8.514), (0, 24.93)]",0.15521457599993482,None,None,None,"[(None, 0.0), (1, 13.262), (2, 14.964), (1, 15.028), (0, 15.065)]",0.15521457599993482,None,None,None,"[(None, 0.0), (0, 16.161)]",0.15521457599993482,None,None,None,"[(None, 0.0), (100, 5.574)]",0.15521457599993482,None,None,None,"[(None, 0.0), (9, 9.438), (8, 9.707), (5, 9.742), (3, 9.776), (2, 9.807), (1, 9.886), (0, 9.957)]",0.15521457599993482,None,None,None,"[(None, 0.0), (0, 11.92)]",0.15521457599993482,None,163.5822719560001,None,001,12,2019_Aug_27_1629,schematest,3.1.3,59.70147222095679,
"When a couple from the SOUTH just dropped a coin into a bowl, the most likely next event is:",0,3,3,6,164.26487525800007,None,None,None,"[(None, 0.0), (0, 17.595)]",0.15596198699995512,None,None,None,"[(None, 0.0), (0, 16.262)]",0.15596198699995512,None,None,None,"[(None, 0.0), (1, 14.026), (0, 15.027)]",0.15596198699995512,None,0,29.426,"[(None, 0.0), (0, 20.025), (0, 29.425)]",0.15596198699995512,None,None,None,"[(None, 0.0), (0, 18.788)]",0.15596198699995512,None,None,None,"[(None, 0.0), (100, 12.484)]",0.15596198699995512,None,193.69809906900014,None,001,12,2019_Aug_27_1629,schematest,3.1.3,59.70147222095679,
"When a couple from the NORTH just held a torch together, the most likely next event is:",0,4,4,3,194.38111296400007,None,0,28.298,"[(None, 0.0), (0, 10.863), (0, 28.298)]",0.15499205900005109,None,None,None,"[(None, 0.0), (0, 14.829)]",0.15499205900005109,None,None,None,"[(None, 0.0), (0, 12.26)]",0.15499205900005109,None,None,None,"[(None, 0.0), (0, 13.259)]",0.15499205900005109,None,None,None,"[(None, 0.0), (0, 16.357)]",0.15499205900005109,None,None,None,"[(None, 0.0), (100, 9.418)]",0.15499205900005109,None,222.68139924900015,None,001,12,2019_Aug_27_1629,schematest,3.1.3,59.70147222095679,
"When a couple from the NORTH just dropped a coin into a bowl, the most likely next event is:",0,5,5,2,223.36435184800007,None,0,76.449,"[(None, 0.0), (0, 18.214), (0, 76.449)]",0.15308506599990324,None,None,None,"[(None, 0.0), (0, 24.114)]",0.15308506599990324,None,None,None,"[(None, 0.0), (0, 52.714)]",0.15308506599990324,None,None,None,"[(None, 0.0), (0, 44.477)]",0.15308506599990324,None,None,None,"[(None, 0.0), (100, 51.077), (78, 63.177), (80, 64.077), (89, 72.073), (90, 73.475)]",0.15308506599990324,None,None,None,"[(None, 0.0), (0, 41.205), (19, 66.171), (18, 68.839), (17, 68.877), (16, 68.908), (15, 68.942), (14, 68.975), (13, 69.01), (12, 69.04), (11, 69.409), (10, 70.107)]",0.15308506599990324,None,299.8135777570001,None,001,12,2019_Aug_27_1629,schematest,3.1.3,59.70147222095679,
"When a couple from the NORTH just planted a flower, the most likely next event is:",0,6,6,1,300.49642684100013,None,None,None,"[(None, 0.0), (0, 12.781)]",0.15394300500020108,None,0,44.813,"[(None, 0.0), (1, 22.182), (0, 23.481), (0, 44.813)]",0.15394300500020108,None,None,None,"[(None, 0.0), (0, 41.179)]",0.15394300500020108,None,None,None,"[(None, 0.0), (100, 17.509)]",0.15394300500020108,None,None,None,"[(None, 0.0), (0, 32.141)]",0.15394300500020108,None,None,None,"[(None, 0.0), (0, 25.971)]",0.15394300500020108,None,345.312847381,None,001,12,2019_Aug_27_1629,schematest,3.1.3,59.70147222095679,
"When a couple from the NORTH just celebrated around a campfire, the most likely next event is:",0,7,7,0,345.995881111,None,None,None,"[(None, 0.0), (0, 12.05)]",0.15373345700004393,None,0,24.647,"[(None, 0.0), (0, 13.348), (0, 24.647)]",0.15373345700004393,None,None,None,"[(None, 0.0), (100, 10.878)]",0.15373345700004393,None,None,None,"[(None, 0.0), (0, 16.576)]",0.15373345700004393,None,None,None,"[(None, 0.0), (0, 18.076)]",0.15373345700004393,None,None,None,"[(None, 0.0), (0, 15.271)]",0.15373345700004393,None,370.6451564680001,None,001,12,2019_Aug_27_1629,schematest,3.1.3,59.70147222095679,
