Question,answer.thisRepN,answer.thisTrialN,answer.thisN,answer.thisIndex,QuestionNr.started,QuestionNr.stopped,answer1.response,answer1.rt,answer1.history,answer1.started,answer1.stopped,answer2.response,answer2.rt,answer2.history,answer2.started,answer2.stopped,answer3.response,answer3.rt,answer3.history,answer3.started,answer3.stopped,answer4.response,answer4.rt,answer4.history,answer4.started,answer4.stopped,answer5.response,answer5.rt,answer5.history,answer5.started,answer5.stopped,answer6.response,answer6.rt,answer6.history,answer6.started,answer6.stopped,blank.started,blank.stopped,session,participant,date,expName,psychopyVersion,frameRate
"When a couple from the NORTH just planted a flower, the most likely next event is:",0,0,0,1,23.52789435,None,None,None,"[(None, 0.0), (0, 0)]",0.192502177,None,None,None,"[(None, 0.0), (0, 0)]",0.192502177,None,None,None,"[(None, 0.0), (0, 0)]",0.192502177,None,100,111.11,"[(None, 0.0), (100, 101.258), (100, 111.11)]",0.192502177,None,None,None,"[(None, 0.0), (0, 0)]",0.192502177,None,None,None,"[(None, 0.0), (0, 0)]",0.192502177,None,134.6472491,None,1,33,2019_Dec_13_1824,schematest,3.1.3,60.04153806
"When a couple from the SOUTH just held a torch together, the most likely next event is:",0,1,1,7,135.3298186,None,None,None,"[(None, 0.0), (0, 0)]",0.16110477,None,None,None,"[(None, 0.0), (0, 0)]",0.16110477,None,None,None,"[(None, 0.0), (0, 0)]",0.16110477,None,None,None,"[(None, 0.0), (0, 0)]",0.16110477,None,100,13.748,"[(None, 0.0), (100, 12.781), (100, 13.748)]",0.16110477,None,None,None,"[(None, 0.0), (0, 0)]",0.16110477,None,149.0965911,None,1,33,2019_Dec_13_1824,schematest,3.1.3,60.04153806
"When a couple from the NORTH just dropped a coin into a bowl, the most likely next event is:",0,2,2,2,149.7804448,None,None,None,"[(None, 0.0), (0, 0)]",0.156903774,None,None,None,"[(None, 0.0), (0, 0)]",0.156903774,None,None,None,"[(None, 0.0), (0, 0)]",0.156903774,None,None,None,"[(None, 0.0), (0, 0)]",0.156903774,None,None,None,"[(None, 0.0), (100, 12.136), (0, 14.736)]",0.156903774,None,100,17.568,"[(None, 0.0), (100, 16.601), (100, 17.568)]",0.156903774,None,167.3636641,None,1,33,2019_Dec_13_1824,schematest,3.1.3,60.04153806
"When a couple from the SOUTH just planted a flower, the most likely next event is:",0,3,3,5,168.0470377,None,None,None,"[(None, 0.0), (0, 0)]",0.155157273,None,None,None,"[(None, 0.0), (0, 0)]",0.155157273,None,None,None,"[(None, 0.0), (49, 23.742), (50, 25.344)]",0.155157273,None,50,27.242,"[(None, 0.0), (100, 13.173), (50, 16.875), (50, 27.241)]",0.155157273,None,None,None,"[(None, 0.0), (0, 0)]",0.155157273,None,None,None,"[(None, 0.0), (0, 0)]",0.155157273,None,195.2966523,None,1,33,2019_Dec_13_1824,schematest,3.1.3,60.04153806
"When a couple from the SOUTH just dropped a coin into a bowl, the most likely next event is:",0,4,4,6,195.9966905,None,None,None,"[(None, 0.0), (0, 0)]",0.164309945,None,None,None,"[(None, 0.0), (0, 0)]",0.164309945,None,None,None,"[(None, 0.0), (0, 0)]",0.164309945,None,None,None,"[(None, 0.0), (0, 0)]",0.164309945,None,None,None,"[(None, 0.0), (0, 0)]",0.164309945,None,100,10.839,"[(None, 0.0), (100, 10.238), (100, 10.839)]",0.164309945,None,206.8464434,None,1,33,2019_Dec_13_1824,schematest,3.1.3,60.04153806
"When a couple from the NORTH just celebrated around a campfire, the most likely next event is:",0,5,5,0,207.5297537,None,None,None,"[(None, 0.0), (0, 0)]",0.154414544,None,None,None,"[(None, 0.0), (0, 0)]",0.154414544,None,100,10.445,"[(None, 0.0), (100, 9.844), (100, 10.444)]",0.154414544,None,None,None,"[(None, 0.0), (0, 0)]",0.154414544,None,None,None,"[(None, 0.0), (0, 0)]",0.154414544,None,None,None,"[(None, 0.0), (0, 0)]",0.154414544,None,217.9796538,None,1,33,2019_Dec_13_1824,schematest,3.1.3,60.04153806
"When a couple from the SOUTH just celebrated around a campfire, the most likely next event is:",0,6,6,4,218.6626502,None,None,None,"[(None, 0.0), (0, 0)]",0.155574417,None,None,None,"[(None, 0.0), (0, 0)]",0.155574417,None,None,None,"[(None, 0.0), (0, 0)]",0.155574417,None,None,None,"[(None, 0.0), (0, 0)]",0.155574417,None,100,27.154,"[(None, 0.0), (50, 16.753), (99, 24.954), (100, 26.254), (100, 27.154)]",0.155574417,None,None,None,"[(None, 0.0), (0, 0)]",0.155574417,None,245.8291397,None,1,33,2019_Dec_13_1824,schematest,3.1.3,60.04153806
"When a couple from the NORTH just held a torch together, the most likely next event is:",0,7,7,3,246.5117446,None,None,None,"[(None, 0.0), (0, 0)]",0.156160888,None,None,None,"[(None, 0.0), (0, 0)]",0.156160888,None,None,None,"[(None, 0.0), (0, 0)]",0.156160888,None,None,None,"[(None, 0.0), (0, 0)]",0.156160888,None,100,11.636,"[(None, 0.0), (100, 11.037), (100, 11.636)]",0.156160888,None,None,None,"[(None, 0.0), (0, 0)]",0.156160888,None,258.161479,None,1,33,2019_Dec_13_1824,schematest,3.1.3,60.04153806
