133.1121 	DATA 	Keypress: equal
134.6121 	DATA 	Keypress: equal
136.1121 	DATA 	Keypress: equal
137.6119 	DATA 	Keypress: equal
139.1120 	DATA 	Keypress: equal
140.6121 	DATA 	Keypress: equal
142.1119 	DATA 	Keypress: equal
143.6119 	DATA 	Keypress: equal
145.1119 	DATA 	Keypress: equal
146.6121 	DATA 	Keypress: equal
148.1122 	DATA 	Keypress: equal
149.6118 	DATA 	Keypress: equal
151.1119 	DATA 	Keypress: equal
152.6119 	DATA 	Keypress: equal
154.1119 	DATA 	Keypress: equal
155.6118 	DATA 	Keypress: equal
157.1118 	DATA 	Keypress: equal
157.2279 	DATA 	Keypress: space
157.3601 	EXP 	New trial (rep=0, index=2): OrderedDict([('cue', 'stimsday2details/C2.png')])
157.3766 	EXP 	cueImage: autoDraw = False
157.3766 	EXP 	text: autoDraw = False
157.3766 	EXP 	cueImage: image = 'stimsday2details/C2.png'
157.3766 	EXP 	cueImage: autoDraw = True
157.3766 	EXP 	text: autoDraw = True
158.6117 	DATA 	Keypress: equal
160.1118 	DATA 	Keypress: equal
161.6117 	DATA 	Keypress: equal
163.1119 	DATA 	Keypress: equal
164.6115 	DATA 	Keypress: equal
166.1117 	DATA 	Keypress: equal
167.6115 	DATA 	Keypress: equal
169.1117 	DATA 	Keypress: equal
170.6116 	DATA 	Keypress: equal
172.1116 	DATA 	Keypress: equal
173.6116 	DATA 	Keypress: equal
175.1117 	DATA 	Keypress: equal
176.6116 	DATA 	Keypress: equal
178.1116 	DATA 	Keypress: equal
179.6115 	DATA 	Keypress: equal
181.1115 	DATA 	Keypress: equal
182.6115 	DATA 	Keypress: equal
184.1115 	DATA 	Keypress: equal
185.6115 	DATA 	Keypress: equal
187.1116 	DATA 	Keypress: equal
188.6115 	DATA 	Keypress: equal
190.1114 	DATA 	Keypress: equal
191.6113 	DATA 	Keypress: equal
193.1113 	DATA 	Keypress: equal
194.6111 	DATA 	Keypress: equal
196.1113 	DATA 	Keypress: equal
197.6113 	DATA 	Keypress: equal
199.1115 	DATA 	Keypress: equal
200.6110 	DATA 	Keypress: equal
202.1113 	DATA 	Keypress: equal
203.6112 	DATA 	Keypress: equal
205.1113 	DATA 	Keypress: equal
206.6112 	DATA 	Keypress: equal
208.1111 	DATA 	Keypress: equal
209.6111 	DATA 	Keypress: equal
211.1112 	DATA 	Keypress: equal
212.6110 	DATA 	Keypress: equal
214.1112 	DATA 	Keypress: equal
215.6111 	DATA 	Keypress: equal
217.1111 	DATA 	Keypress: equal
218.6110 	DATA 	Keypress: equal
220.1110 	DATA 	Keypress: equal
221.6109 	DATA 	Keypress: equal
223.1112 	DATA 	Keypress: equal
224.6109 	DATA 	Keypress: equal
226.1110 	DATA 	Keypress: equal
227.6109 	DATA 	Keypress: equal
229.1110 	DATA 	Keypress: equal
230.6108 	DATA 	Keypress: equal
232.1109 	DATA 	Keypress: equal
233.6108 	DATA 	Keypress: equal
235.1109 	DATA 	Keypress: equal
236.6108 	DATA 	Keypress: equal
238.1107 	DATA 	Keypress: equal
239.6108 	DATA 	Keypress: equal
241.1108 	DATA 	Keypress: equal
242.6111 	DATA 	Keypress: equal
244.1107 	DATA 	Keypress: equal
245.6107 	DATA 	Keypress: equal
247.1109 	DATA 	Keypress: equal
248.6106 	DATA 	Keypress: equal
250.1106 	DATA 	Keypress: equal
251.6106 	DATA 	Keypress: equal
253.1106 	DATA 	Keypress: equal
254.6107 	DATA 	Keypress: equal
256.1106 	DATA 	Keypress: equal
257.6105 	DATA 	Keypress: equal
258.1286 	DATA 	Keypress: space
258.2834 	EXP 	New trial (rep=0, index=3): OrderedDict([('cue', 'stimsday2details/C28.png')])
258.3087 	EXP 	cueImage: autoDraw = False
258.3087 	EXP 	text: autoDraw = False
258.3087 	EXP 	cueImage: image = 'stimsday2details/C28.png'
258.3087 	EXP 	cueImage: autoDraw = True
258.3087 	EXP 	text: autoDraw = True
259.1105 	DATA 	Keypress: equal
260.6105 	DATA 	Keypress: equal
262.1105 	DATA 	Keypress: equal
263.6105 	DATA 	Keypress: equal
265.1104 	DATA 	Keypress: equal
266.6104 	DATA 	Keypress: equal
268.1104 	DATA 	Keypress: equal
269.6104 	DATA 	Keypress: equal
271.1105 	DATA 	Keypress: equal
272.6104 	DATA 	Keypress: equal
274.1104 	DATA 	Keypress: equal
275.6104 	DATA 	Keypress: equal
277.1105 	DATA 	Keypress: equal
278.6103 	DATA 	Keypress: equal
280.1103 	DATA 	Keypress: equal
281.6103 	DATA 	Keypress: equal
283.1104 	DATA 	Keypress: equal
284.6102 	DATA 	Keypress: equal
286.1102 	DATA 	Keypress: equal
287.6102 	DATA 	Keypress: equal
289.1104 	DATA 	Keypress: equal
290.6101 	DATA 	Keypress: equal
292.1101 	DATA 	Keypress: equal
293.6103 	DATA 	Keypress: equal
295.1099 	DATA 	Keypress: equal
296.6100 	DATA 	Keypress: equal
298.1102 	DATA 	Keypress: equal
299.6100 	DATA 	Keypress: equal
301.1102 	DATA 	Keypress: equal
302.6099 	DATA 	Keypress: equal
304.1099 	DATA 	Keypress: equal
305.6103 	DATA 	Keypress: equal
307.1098 	DATA 	Keypress: equal
308.6098 	DATA 	Keypress: equal
310.1100 	DATA 	Keypress: equal
311.6098 	DATA 	Keypress: equal
313.1099 	DATA 	Keypress: equal
314.6098 	DATA 	Keypress: equal
316.1098 	DATA 	Keypress: equal
317.6100 	DATA 	Keypress: equal
319.1097 	DATA 	Keypress: equal
320.6097 	DATA 	Keypress: equal
322.1097 	DATA 	Keypress: equal
323.6097 	DATA 	Keypress: equal
325.1099 	DATA 	Keypress: equal
326.6097 	DATA 	Keypress: equal
328.1096 	DATA 	Keypress: equal
329.6097 	DATA 	Keypress: equal
331.1096 	DATA 	Keypress: equal
332.6096 	DATA 	Keypress: equal
334.1095 	DATA 	Keypress: equal
335.6096 	DATA 	Keypress: equal
337.1097 	DATA 	Keypress: equal
338.6095 	DATA 	Keypress: equal
340.1094 	DATA 	Keypress: equal
