1.8278 	WARNING 	Import Error: No module named 'psychtoolbox'. Using event module for keyboard component.
3.8653 	WARNING 	User requested fullscreen with size [2560 1440], but screen is actually [1920, 1080]. Using actual size
4.5314 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([0., 0., 0.]), colorSpace='rgb', fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x1323355748>, gamma=None, kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x1324fa4048>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1080]), stereo=False, units='norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
4.5315 	EXP 	window1: recordFrameIntervals = False
4.6974 	EXP 	window1: recordFrameIntervals = True
4.8811 	EXP 	window1: recordFrameIntervals = False
5.0044 	EXP 	Created text_2 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='text_2', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='Waiting for experimenter...', units='norm', win=Window(...), wrapWidth=1)
5.0131 	EXP 	Created waiting = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='waiting', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='Waiting for scanner...', units='norm', win=Window(...), wrapWidth=1)
5.0198 	EXP 	Created cueImage = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='cueImage', opacity=1.0, ori=0.0, pos=array([0. , 0.2]), size=array([0.8, 0.8]), texRes=128, units='norm', win=Window(...))
5.0523 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0, pos=array([ 0. , -0.5]), rgb=array([255., 255., 255.]), text=str(...), units='norm', win=Window(...), wrapWidth=1)
5.0972 	EXP 	text_2: autoDraw = True
6.2175 	DATA 	Keypress: g
6.2308 	EXP 	text_2: autoDraw = False
6.2308 	EXP 	waiting: autoDraw = True
25.8155 	DATA 	Keypress: equal
25.8264 	EXP 	Imported recall.csv as conditions, 12 conditions, 1 params
25.8277 	EXP 	Created sequence: random, trialTypes=12, nReps=1, seed=None
25.8281 	EXP 	New trial (rep=0, index=0): OrderedDict([('cue', 'stimsday2details/C22.png')])
25.8640 	EXP 	waiting: autoDraw = False
25.8640 	EXP 	cueImage: image = 'stimsday2details/C22.png'
25.8640 	EXP 	cueImage: autoDraw = True
25.8640 	EXP 	text: autoDraw = True
27.3157 	DATA 	Keypress: equal
28.8154 	DATA 	Keypress: equal
30.3155 	DATA 	Keypress: equal
31.8156 	DATA 	Keypress: equal
33.3156 	DATA 	Keypress: equal
34.8157 	DATA 	Keypress: equal
36.3154 	DATA 	Keypress: equal
37.8157 	DATA 	Keypress: equal
39.3153 	DATA 	Keypress: equal
40.8154 	DATA 	Keypress: equal
42.3154 	DATA 	Keypress: equal
43.8153 	DATA 	Keypress: equal
45.3156 	DATA 	Keypress: equal
46.8154 	DATA 	Keypress: equal
48.3153 	DATA 	Keypress: equal
49.8151 	DATA 	Keypress: equal
51.3153 	DATA 	Keypress: equal
52.8152 	DATA 	Keypress: equal
54.3154 	DATA 	Keypress: equal
55.8153 	DATA 	Keypress: equal
57.3156 	DATA 	Keypress: equal
58.8155 	DATA 	Keypress: equal
60.3150 	DATA 	Keypress: equal
61.8149 	DATA 	Keypress: equal
