condsFile,northOrSouth,stimFile1a,stimFile1b,stimFile2,stimFile3,stimFile4,stimFile5,QeggPainting1,Qcharacter1,Qgift1,QeggPainting2,Qcharacter2,Qgift2,Qname1,Qtheme1,Qname2,Qtheme2,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,noQtrials.thisRepN,noQtrials.thisTrialN,noQtrials.thisN,noQtrials.thisIndex,Qtrials.thisRepN,Qtrials.thisTrialN,Qtrials.thisN,Qtrials.thisIndex,text.started,text.stopped,prep_trigger.keys,prep_trigger.rt,prep_trigger.started,prep_trigger.stopped,waiting.started,waiting.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,image_3.started,image_3.stopped,trialNoQs.started,trialNoQs.stopped,vid1a.started,vid1a.stopped,vid1b.started,vid1b.stopped,vid2.started,vid2.stopped,vid3.started,vid3.stopped,vid4.started,vid4.stopped,vid5.started,vid5.stopped,ISI2.started,ISI2.stopped,vid1a_q.started,vid1a_q.stopped,vid1b_q.started,vid1b_q.stopped,vid2_q.started,vid2_q.stopped,l2q.started,l2q.stopped,vid3_q.started,vid3_q.stopped,l3q.started,l3q.stopped,vid4_q.started,vid4_q.stopped,vid5_q.started,vid5_q.stopped,key_resp_2.keys,key_resp_2.started,key_resp_2.stopped,key_resp_3.keys,key_resp_3.started,key_resp_3.stopped,ISI7.started,ISI7.stopped,nameQresp.keys,nameQresp.started,nameQresp.stopped,nameQ1.started,nameQ1.stopped,nameQ2.started,nameQ2.stopped,eggPainting1.started,eggPainting1.stopped,eggPaintingQresp.keys,eggPaintingQresp.started,eggPaintingQresp.stopped,eggPainting2.started,eggPainting2.stopped,character1.started,character1.stopped,character2.started,character2.stopped,Qcharacter.keys,Qcharacter.started,Qcharacter.stopped,themeQresp.keys,themeQresp.started,themeQresp.stopped,themeQ1.started,themeQ1.stopped,themeQ2.started,themeQ2.stopped,gift1.started,gift1.stopped,gift2.started,gift2.stopped,giftQresp.keys,giftQresp.started,giftQresp.stopped,northorsouth1.started,northorsouth1.stopped,northOrSouthQ.keys,northOrSouthQ.started,northOrSouthQ.stopped,northorsouth2.started,northorsouth2.stopped,key_resp_2.rt,key_resp_3.rt,session,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.6122866430087015,None,g,1.537950058002025,7.6122866430087015,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,5,2019_Jul_15_0942,Block1,3.1.2,59.97691043128576,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.162348790036049,None,equal,16.688328305026516,9.162348790036049,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,5,2019_Jul_15_0942,Block1,3.1.2,59.97691043128576,
videoBlock_schemaN_pathA_2.csv,north.png,stims/wedding-5.1a.mp4,stims/wedding-5.1b.mp4,stims/wedding-5.2a.mp4,stims/wedding-5.3a.mp4,stims/wedding-5.4a.mp4,stims/wedding-5.5.mp4,stimsday1details/newegg2.png,stimsday1details/couple5.png,stimsday1details/gift5.png,stimsday1details/egg5.png,stimsday1details/newperson2.png,stimsday1details/new2.png,stimsday1details/cn5.png,stimsday1details/ct5.png,stimsday1details/n5.png,stimsday1details/t5.png,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,25.895471015013754,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,5,2019_Jul_15_0942,Block1,3.1.2,59.97691043128576,
videoBlock_schemaN_pathA_2.csv,north.png,stims/wedding-5.1a.mp4,stims/wedding-5.1b.mp4,stims/wedding-5.2a.mp4,stims/wedding-5.3a.mp4,stims/wedding-5.4a.mp4,stims/wedding-5.5.mp4,stimsday1details/newegg2.png,stimsday1details/couple5.png,stimsday1details/gift5.png,stimsday1details/egg5.png,stimsday1details/newperson2.png,stimsday1details/new2.png,stimsday1details/cn5.png,stimsday1details/ct5.png,stimsday1details/n5.png,stimsday1details/t5.png,0,0,0,1,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.628311845997814,None,38.44716832600534,52.81180373800453,52.828474927984644,61.82835603202693,61.8449714879971,78.81148452300113,78.82815106201451,82.81144054303877,82.82825289899483,105.81117564201122,105.82782102003694,109.8111077620415,109.82777810300468,133.81081538501894,133.82749259803677,None,None,77.82816211902536,82.81144054303877,None,104.82785057701403,109.8111077620415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,5,2019_Jul_15_0942,Block1,3.1.2,59.97691043128576,
videoBlock_schemaN_pathA_2.csv,north.png,stims/wedding-5.1a.mp4,stims/wedding-5.1b.mp4,stims/wedding-5.2a.mp4,stims/wedding-5.3a.mp4,stims/wedding-5.4a.mp4,stims/wedding-5.5.mp4,stimsday1details/newegg2.png,stimsday1details/couple5.png,stimsday1details/gift5.png,stimsday1details/egg5.png,stimsday1details/newperson2.png,stimsday1details/new2.png,stimsday1details/cn5.png,stimsday1details/ct5.png,stimsday1details/n5.png,stimsday1details/t5.png,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5593035388737917e-05,None,None,148.92725175002124,None,148.92725175002124,None,148.92725175002124,None,150.92726368602598,None,None,150.92726368602598,None,150.92726368602598,None,152.92725189001067,None,152.92725189001067,None,None,152.92725189001067,None,None,154.92717146902578,None,154.92717146902578,None,154.92717146902578,None,156.92721143900417,None,156.92721143900417,None,None,156.92721143900417,None,158.92717927799094,None,None,158.92717927799094,None,158.92717927799094,None,,,001,5,2019_Jul_15_0942,Block1,3.1.2,59.97691043128576,
videoBlock_schemaN_pathA_3.csv,north.png,stims/wedding-9.1a.mp4,stims/wedding-9.1b.mp4,stims/wedding-9.2a.mp4,stims/wedding-9.3a.mp4,stims/wedding-9.4a.mp4,stims/wedding-9.5.mp4,stimsday1details/newegg3.png,stimsday1details/newperson3.png,stimsday1details/gift9.png,stimsday1details/egg9.png,stimsday1details/couple9.png,stimsday1details/new3.png,stimsday1details/n9.png,stimsday1details/t9.png,stimsday1details/cn9.png,stimsday1details/ct9.png,0,1,1,2,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,161.09381839999696,None,2.810232468007598,None,170.89385470899288,185.09347748098662,185.11031934904167,194.0934188720421,194.11008497903822,211.0932129630237,211.1098752010148,None,234.10960052302107,258.09271720203105,258.10924386803526,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,5,2019_Jul_15_0942,Block1,3.1.2,59.97691043128576,
videoBlock_schemaN_pathA_3.csv,north.png,stims/wedding-9.1a.mp4,stims/wedding-9.1b.mp4,stims/wedding-9.2a.mp4,stims/wedding-9.3a.mp4,stims/wedding-9.4a.mp4,stims/wedding-9.5.mp4,stimsday1details/newegg3.png,stimsday1details/newperson3.png,stimsday1details/gift9.png,stimsday1details/egg9.png,stimsday1details/couple9.png,stimsday1details/new3.png,stimsday1details/n9.png,stimsday1details/t9.png,stimsday1details/cn9.png,stimsday1details/ct9.png,0,1,1,2,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,5,2019_Jul_15_0942,Block1,3.1.2,59.97691043128576,
videoBlock_schemaN_pathA_3.csv,north.png,stims/wedding-9.1a.mp4,stims/wedding-9.1b.mp4,stims/wedding-9.2a.mp4,stims/wedding-9.3a.mp4,stims/wedding-9.4a.mp4,stims/wedding-9.5.mp4,stimsday1details/newegg3.png,stimsday1details/newperson3.png,stimsday1details/gift9.png,stimsday1details/egg9.png,stimsday1details/couple9.png,stimsday1details/new3.png,stimsday1details/n9.png,stimsday1details/t9.png,stimsday1details/cn9.png,stimsday1details/ct9.png,0,1,1,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6107998564839363e-05,None,None,275.6424859800027,None,275.6424859800027,None,275.6424859800027,None,277.6423948869924,None,None,277.6423948869924,None,277.6423948869924,None,279.64237294503255,None,279.64237294503255,None,None,279.64237294503255,None,None,281.64234949601814,None,281.64234949601814,None,281.64234949601814,None,283.64235083700623,None,283.64235083700623,None,None,283.64235083700623,None,285.6423081899993,None,None,285.6423081899993,None,285.6423081899993,None,,,001,5,2019_Jul_15_0942,Block1,3.1.2,59.97691043128576,
videoBlock_schemaN_pathB_2.csv,north.png,stims/wedding-8.1a.mp4,stims/wedding-8.1b.mp4,stims/wedding-8.2b.mp4,stims/wedding-8.3b.mp4,stims/wedding-8.4b.mp4,stims/wedding-8.5.mp4,stimsday1details/newpainting2.png,stimsday1details/newperson14.png,stimsday1details/new14.png,stimsday1details/painting8.png,stimsday1details/couple8.png,stimsday1details/gift8.png,stimsday1details/n8.png,stimsday1details/t8.png,stimsday1details/cn8.png,stimsday1details/ct8.png,0,2,2,4,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,287.8255713460385,None,2.8516866890131496,None,297.6786121170153,311.8253186279908,311.84198332502274,320.8252051770105,320.8418722189963,None,337.8416624410311,None,360.8413242120296,None,384.8410905210185,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,5,2019_Jul_15_0942,Block1,3.1.2,59.97691043128576,
videoBlock_schemaN_pathB_2.csv,north.png,stims/wedding-8.1a.mp4,stims/wedding-8.1b.mp4,stims/wedding-8.2b.mp4,stims/wedding-8.3b.mp4,stims/wedding-8.4b.mp4,stims/wedding-8.5.mp4,stimsday1details/newpainting2.png,stimsday1details/newperson14.png,stimsday1details/new14.png,stimsday1details/painting8.png,stimsday1details/couple8.png,stimsday1details/gift8.png,stimsday1details/n8.png,stimsday1details/t8.png,stimsday1details/cn8.png,stimsday1details/ct8.png,0,2,2,4,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,5,2019_Jul_15_0942,Block1,3.1.2,59.97691043128576,
