1.8399 	WARNING 	Import Error: No module named 'psychtoolbox'. Using event module for keyboard component.
3.9141 	WARNING 	User requested fullscreen with size [2560 1440], but screen is actually [1920, 1080]. Using actual size
4.5693 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([0., 0., 0.]), colorSpace='rgb', fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x1320d557f0>, gamma=None, kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x1322a150f0>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1080]), stereo=False, units='norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
4.5693 	EXP 	window1: recordFrameIntervals = False
4.7353 	EXP 	window1: recordFrameIntervals = True
4.9182 	EXP 	window1: recordFrameIntervals = False
5.0420 	EXP 	Created text_2 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='text_2', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='Waiting for experimenter...', units='norm', win=Window(...), wrapWidth=1)
5.0510 	EXP 	Created waiting = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='waiting', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='Waiting for scanner...', units='norm', win=Window(...), wrapWidth=1)
5.0576 	EXP 	Created cueImage = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='cueImage', opacity=1.0, ori=0.0, pos=array([0. , 0.2]), size=array([0.8, 0.8]), texRes=128, units='norm', win=Window(...))
5.0900 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0, pos=array([ 0. , -0.5]), rgb=array([255., 255., 255.]), text=str(...), units='norm', win=Window(...), wrapWidth=1)
5.1353 	EXP 	text_2: autoDraw = True
26.2387 	DATA 	Keypress: g
26.2517 	EXP 	text_2: autoDraw = False
26.2517 	EXP 	waiting: autoDraw = True
42.8398 	DATA 	Keypress: equal
42.8479 	EXP 	Imported recall.csv as conditions, 12 conditions, 1 params
42.8484 	EXP 	Created sequence: random, trialTypes=12, nReps=1, seed=None
42.8488 	EXP 	New trial (rep=0, index=0): OrderedDict([('cue', 'stimsday2details/C1.png')])
42.8848 	EXP 	waiting: autoDraw = False
42.8848 	EXP 	cueImage: image = 'stimsday2details/C1.png'
42.8848 	EXP 	cueImage: autoDraw = True
42.8848 	EXP 	text: autoDraw = True
44.3393 	DATA 	Keypress: equal
45.8363 	DATA 	Keypress: equal
47.3397 	DATA 	Keypress: equal
48.8363 	DATA 	Keypress: equal
50.3364 	DATA 	Keypress: equal
51.8363 	DATA 	Keypress: equal
53.3361 	DATA 	Keypress: equal
54.8351 	DATA 	Keypress: equal
56.3350 	DATA 	Keypress: equal
57.8365 	DATA 	Keypress: equal
59.3262 	DATA 	Keypress: equal
60.8355 	DATA 	Keypress: equal
