,onsets,offsets,weddNr
0,127.0,151.0,1.0
1,215.0,251.0,2.0
2,85.0,126.0,6.0
3,49.0,65.0,17.0
4,152.0,182.0,19.0
5,183.0,214.0,20.0
6,293.0,330.0,22.0
7,252.0,292.0,23.0
8,331.0,99998.0,28.0
9,30.0,48.0,29.0
10,3.0,29.0,34.0
11,66.0,84.0,38.0
