cue,n,cueImage.started_mean,cueImage.started_raw,cueImage.started_std,cueImage.stopped_raw,keyToMoveOn.keys_raw,keyToMoveOn.rt_mean,keyToMoveOn.rt_raw,keyToMoveOn.rt_std,keyToMoveOn.started_mean,keyToMoveOn.started_raw,keyToMoveOn.started_std,keyToMoveOn.stopped_raw,text.started_mean,text.started_raw,text.started_std,text.stopped_raw,order
stimsday2details/C1.png,1.0,270.1781005859375,270.1781005859375,0.0,,'space',47.50010299682617,47.50010299682617,0.0,270.1781005859375,270.1781005859375,0.0,,270.1781005859375,270.1781005859375,0.0,,8.0
stimsday2details/C2.png,1.0,342.18109130859375,342.18109130859375,0.0,,'space',31.85129737854004,31.85129737854004,0.0,342.18109130859375,342.18109130859375,0.0,,342.18109130859375,342.18109130859375,0.0,,10.0
stimsday2details/C6.png,1.0,196.61236572265625,196.61236572265625,0.0,,'space',29.651504516601562,29.651504516601562,0.0,196.61236572265625,196.61236572265625,0.0,,196.61236572265625,196.61236572265625,0.0,,5.0
stimsday2details/C17.png,1.0,118.67967224121094,118.67967224121094,0.0,,'space',41.93930435180664,41.93930435180664,0.0,118.67967224121094,118.67967224121094,0.0,,118.67967224121094,118.67967224121094,0.0,,3.0
stimsday2details/C19.png,1.0,160.79568481445312,160.79568481445312,0.0,,'space',35.64969253540039,35.64969253540039,0.0,160.79568481445312,160.79568481445312,0.0,,160.79568481445312,160.79568481445312,0.0,,4.0
stimsday2details/C20.png,1.0,317.8431091308594,317.8431091308594,0.0,,'space',24.189668655395508,24.189668655395508,0.0,317.8431091308594,317.8431091308594,0.0,,317.8431091308594,317.8431091308594,0.0,,9.0
stimsday2details/C22.png,1.0,97.31255340576172,97.31255340576172,0.0,,'space',21.201946258544922,21.201946258544922,0.0,97.31255340576172,97.31255340576172,0.0,,97.31255340576172,97.31255340576172,0.0,,2.0
stimsday2details/C23.png,1.0,252.52769470214844,252.52769470214844,0.0,,'space',17.489728927612305,17.489728927612305,0.0,252.52769470214844,252.52769470214844,0.0,,252.52769470214844,252.52769470214844,0.0,,7.0
stimsday2details/C28.png,1.0,226.42764282226562,226.42764282226562,0.0,,'space',25.93497657775879,25.93497657775879,0.0,226.42764282226562,226.42764282226562,0.0,,226.42764282226562,226.42764282226562,0.0,,6.0
stimsday2details/C29.png,1.0,31.264036178588867,31.264036178588867,0.0,,'space',27.30072593688965,27.30072593688965,0.0,31.264036178588867,31.264036178588867,0.0,,31.264036178588867,31.264036178588867,0.0,,0.0
stimsday2details/C34.png,1.0,58.730560302734375,58.730560302734375,0.0,,'space',38.40525436401367,38.40525436401367,0.0,58.730560302734375,58.730560302734375,0.0,,58.730560302734375,58.730560302734375,0.0,,1.0
stimsday2details/C38.png,1.0,374.1924133300781,374.1924133300781,0.0,,'space',36.98929977416992,36.98929977416992,0.0,374.1924133300781,374.1924133300781,0.0,,374.1924133300781,374.1924133300781,0.0,,11.0

extraInfo
session,001
participant,31
date,2019_Dec_03_1623
expName,recall
psychopyVersion,3.1.2
frameRate,60.00422114398714
