cue,n,cueImage.started_mean,cueImage.started_raw,cueImage.started_std,cueImage.stopped_raw,keyToMoveOn.keys_raw,keyToMoveOn.rt_mean,keyToMoveOn.rt_raw,keyToMoveOn.rt_std,keyToMoveOn.started_mean,keyToMoveOn.started_raw,keyToMoveOn.started_std,keyToMoveOn.stopped_raw,text.started_mean,text.started_raw,text.started_std,text.stopped_raw,order
stimsday2details/C1.png,1.0,503.9637756347656,503.9637756347656,0.0,,'space',65.56782531738281,65.56782531738281,0.0,503.9637756347656,503.9637756347656,0.0,,503.9637756347656,503.9637756347656,0.0,,10.0
stimsday2details/C2.png,1.0,466.4142761230469,466.4142761230469,0.0,,'space',37.384864807128906,37.384864807128906,0.0,466.4142761230469,466.4142761230469,0.0,,466.4142761230469,466.4142761230469,0.0,,9.0
stimsday2details/C6.png,1.0,353.8988952636719,353.8988952636719,0.0,,'space',52.71641159057617,52.71641159057617,0.0,353.8988952636719,353.8988952636719,0.0,,353.8988952636719,353.8988952636719,0.0,,7.0
stimsday2details/C17.png,1.0,569.7129516601562,569.7129516601562,0.0,,'space',48.101173400878906,48.101173400878906,0.0,569.7129516601562,569.7129516601562,0.0,,569.7129516601562,569.7129516601562,0.0,,11.0
stimsday2details/C19.png,1.0,229.36712646484375,229.36712646484375,0.0,,'space',55.38471221923828,55.38471221923828,0.0,229.36712646484375,229.36712646484375,0.0,,229.36712646484375,229.36712646484375,0.0,,5.0
stimsday2details/C20.png,1.0,284.9164123535156,284.9164123535156,0.0,,'space',68.81793212890625,68.81793212890625,0.0,284.9164123535156,284.9164123535156,0.0,,284.9164123535156,284.9164123535156,0.0,,6.0
stimsday2details/C22.png,1.0,28.01964569091797,28.01964569091797,0.0,,'space',38.9184455871582,38.9184455871582,0.0,28.01964569091797,28.01964569091797,0.0,,28.01964569091797,28.01964569091797,0.0,,0.0
stimsday2details/C23.png,1.0,67.10249328613281,67.10249328613281,0.0,,'space',29.26848602294922,29.26848602294922,0.0,67.10249328613281,67.10249328613281,0.0,,67.10249328613281,67.10249328613281,0.0,,1.0
stimsday2details/C28.png,1.0,125.88504791259766,125.88504791259766,0.0,,'space',46.61833953857422,46.61833953857422,0.0,125.88504791259766,125.88504791259766,0.0,,125.88504791259766,125.88504791259766,0.0,,3.0
stimsday2details/C29.png,1.0,172.66781616210938,172.66781616210938,0.0,,'space',56.534400939941406,56.534400939941406,0.0,172.66781616210938,172.66781616210938,0.0,,172.66781616210938,172.66781616210938,0.0,,4.0
stimsday2details/C34.png,1.0,406.7816467285156,406.7816467285156,0.0,,'space',59.46622085571289,59.46622085571289,0.0,406.7816467285156,406.7816467285156,0.0,,406.7816467285156,406.7816467285156,0.0,,8.0
stimsday2details/C38.png,1.0,96.53547668457031,96.53547668457031,0.0,,'space',29.199949264526367,29.199949264526367,0.0,96.53547668457031,96.53547668457031,0.0,,96.53547668457031,96.53547668457031,0.0,,2.0

extraInfo
session,001
participant,36
date,2020_Jan_10_1509
expName,recall
psychopyVersion,3.1.2
frameRate,59.98840090644938
