,onsets,offsets,weddNr
0,3.0,35.0,1.0
1,89.0,113.0,2.0
2,59.0,88.0,6.0
3,174.0,202.0,17.0
4,223.0,255.0,19.0
5,36.0,58.0,20.0
6,256.0,279.0,22.0
7,147.0,173.0,23.0
8,114.0,146.0,28.0
9,280.0,297.0,29.0
10,203.0,222.0,34.0
11,298.0,99998.0,38.0
