,sub_num,wed_id,onset_recall2,offset_recall2,wed_class,wed_view_num,onset_videos,offset_videos,path
48,6,34,0,30,S,11,1074,1152,SA
49,6,23,30,47,N,10,976,1048,NA
50,6,17,47,72,S,8,783,856,SB
51,6,22,72,108,S,4,398,471,SA
52,6,1,108,142,S,3,303,375,SB
53,6,19,142,175,N,5,495,567,NA
54,6,38,175,201,N,1,111,183,NB
55,6,28,201,236,N,9,879,952,NA
56,6,29,236,263,S,7,687,759,SA
57,6,2,263,277,N,6,591,663,NB
58,6,6,277,307,S,0,12,90,SB
59,6,20,307,-1,N,2,207,279,NB
60,7,1,0,26,N,1,111,183,NB
61,7,34,26,71,N,10,976,1048,NA
62,7,38,71,88,S,7,687,759,SB
63,7,23,88,124,S,0,12,90,SA
64,7,29,124,164,S,8,783,856,SB
65,7,28,164,185,N,6,591,663,NB
66,7,6,185,207,S,11,1074,1152,SA
67,7,2,207,242,N,5,495,567,NA
68,7,19,242,263,S,3,303,375,SA
69,7,17,263,298,N,9,879,952,NB
70,7,20,298,334,S,4,398,471,SB
71,7,22,334,-1,N,2,207,279,NA
72,8,1,0,32,S,0,12,90,SB
73,8,20,32,55,N,9,879,952,NA
74,8,6,55,86,N,2,207,279,NA
75,8,2,86,110,N,5,495,567,NB
76,8,28,110,144,N,1,111,183,NB
77,8,23,144,170,N,6,591,663,NA
78,8,17,170,199,S,7,687,759,SB
79,8,34,199,220,S,3,303,375,SA
80,8,19,220,252,S,4,398,471,SB
81,8,22,252,276,S,8,783,856,SA
82,8,29,276,295,S,11,1074,1152,SA
83,8,38,295,-1,N,10,976,1048,NB
84,9,6,0,16,S,0,12,90,SB
85,9,17,16,27,N,6,591,663,NA
86,9,19,27,44,N,5,495,567,NB
87,9,34,44,56,S,4,398,471,SA
88,9,1,56,78,N,2,207,279,NB
89,9,23,78,89,S,7,687,759,SB
90,9,29,89,110,N,1,111,183,NA
91,9,28,110,126,N,9,879,952,NA
92,9,38,126,140,S,11,1074,1152,SA
93,9,2,140,158,N,10,976,1048,NB
94,9,20,158,175,S,8,783,856,SB
95,9,22,175,-1,S,3,303,375,SA
96,10,38,0,29,S,11,1074,1152,SA
97,10,22,29,79,N,10,976,1048,NA
98,10,34,79,113,S,3,303,375,SA
99,10,20,113,147,N,6,591,663,NB
100,10,17,147,170,S,0,12,90,SB
101,10,23,170,205,N,9,879,952,NA
102,10,19,205,235,N,2,207,279,NA
103,10,6,235,266,N,5,495,567,NB
104,10,1,266,321,S,7,687,759,SA
105,10,28,321,354,S,4,398,471,SB
106,10,2,354,390,N,1,111,183,NB
107,10,29,390,-1,S,8,783,856,SB
108,11,29,0,38,,-99,-99,-99,N/A
109,11,17,38,53,,-99,-99,-99,N/A
110,11,6,53,81,,-99,-99,-99,N/A
111,11,34,81,104,,-99,-99,-99,N/A
